,time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
0,2024-04-18 13:26:35,22,0,49,32,0,0,1
1,2024-04-18 13:26:37,12,0,0,11,0,0,1
2,2024-04-18 13:26:40,0,0,330,348,0,0,1
3,2024-04-18 13:27:18,0,32,103,126,0,0,0
4,2024-04-18 13:27:19,0,7,25,23,0,0,0
5,2024-04-18 13:30:30,14,0,18,0,0,0,1
6,2024-04-18 13:30:31,0,0,120,144,0,0,1
7,2024-04-18 13:30:34,21,0,115,63,0,0,1
8,2024-04-18 13:30:35,0,27,55,50,0,0,0
9,2024-04-18 13:30:36,0,31,0,50,0,0,0
10,2024-04-18 13:30:37,0,0,64,114,0,0,0
11,2024-04-18 13:30:41,22,0,280,278,0,0,1
12,2024-04-18 13:31:11,21,0,57,61,0,0,1
13,2024-04-18 13:31:45,0,4,25,33,0,1,0
14,2024-04-18 13:31:52,0,24,77,74,0,0,0
15,2024-04-18 13:32:57,0,4,114,116,0,1,0
16,2024-04-18 13:34:40,11,0,41,33,0,0,1
17,2024-04-18 13:35:23,8,0,25,25,0,0,1
18,2024-04-18 13:36:15,0,15,63,71,0,1,0
19,2024-04-18 13:36:34,0,4,20,21,0,1,0
20,2024-04-18 13:36:43,4,0,26,26,0,1,1
21,2024-04-18 13:37:09,0,3,24,25,0,1,0
22,2024-04-18 13:37:35,9,2,23,30,0,1,1
23,2024-04-18 13:39:29,3,0,37,39,0,1,1
24,2024-04-18 13:39:30,1,0,37,46,0,1,1
25,2024-04-18 13:39:50,0,2,31,29,0,1,1
26,2024-04-18 13:40:03,6,0,38,50,0,1,1
27,2024-04-18 13:40:04,2,0,31,37,0,1,1
28,2024-04-18 13:40:46,2,0,33,33,0,1,1
29,2024-04-18 13:40:57,0,7,21,27,0,1,0
30,2024-04-18 13:41:36,1,0,32,35,0,1,1
31,2024-04-18 13:42:09,5,0,50,53,0,1,1
32,2024-04-18 13:42:26,1,0,25,27,0,1,1
33,2024-04-18 13:43:36,5,0,35,33,0,1,1
34,2024-04-18 13:45:12,7,0,56,54,0,1,1
35,2024-04-18 14:10:37,0,3,28,30,0,1,0
36,2024-04-18 14:12:40,1,0,29,30,0,1,1
37,2024-04-18 15:16:20,0,21,111,61,0,0,0
38,2024-04-18 15:16:21,0,20,31,53,0,0,0
39,2024-04-18 15:16:22,0,7,32,60,0,0,0
40,2024-04-18 15:16:23,0,7,23,23,0,0,0
41,2024-04-18 15:16:25,0,9,44,42,0,0,0
42,2024-04-18 15:16:27,0,13,24,31,0,0,0
43,2024-04-18 15:17:08,0,12,46,53,0,1,0
44,2024-04-18 15:17:11,0,8,54,57,0,1,0
45,2024-04-18 15:17:14,0,7,29,32,0,1,0
46,2024-04-18 15:17:17,0,5,144,138,0,1,0
47,2024-04-18 15:17:20,0,25,67,70,0,1,0
48,2024-04-18 15:17:21,0,29,0,15,0,1,0
49,2024-04-18 15:17:29,0,8,69,73,0,1,0
50,2024-04-18 15:20:19,0,4,24,20,0,1,0
