,time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
55,2024-05-29 11:46:20,0,6,20,15,1,0,0
54,2024-05-29 11:46:34,30,0,44,24,1,0,1
53,2024-05-29 11:46:38,12,0,24,18,1,0,1
52,2024-05-29 11:47:03,0,6,24,22,1,0,0
51,2024-05-29 11:50:31,17,0,26,17,1,0,1
50,2024-05-29 11:51:27,9,0,25,37,1,0,1
49,2024-05-29 11:52:55,13,0,29,37,1,0,1
48,2024-05-29 11:53:49,11,0,40,42,1,0,1
47,2024-05-29 11:53:52,0,10,20,24,1,0,0
46,2024-05-29 11:53:58,12,0,35,39,1,0,1
45,2024-05-29 11:54:28,7,0,33,32,1,0,1
63,2024-05-29 11:55:03,0,69,114,164,1,1,0
62,2024-05-29 11:55:07,13,0,72,67,1,1,1
61,2024-05-29 11:55:11,59,0,141,29,1,1,1
60,2024-05-29 11:55:14,0,64,0,82,1,1,6
44,2024-05-29 11:56:58,7,0,22,22,1,0,1
43,2024-05-29 11:57:51,0,1,15,23,1,0,0
42,2024-05-29 11:58:05,21,0,48,32,1,0,1
41,2024-05-29 11:59:15,7,0,24,25,1,0,1
40,2024-05-29 11:59:26,4,0,16,18,1,0,1
39,2024-05-29 11:59:48,6,0,28,35,1,0,1
38,2024-05-29 12:01:01,30,0,55,36,1,0,1
37,2024-05-29 12:01:38,18,0,48,44,1,0,1
36,2024-05-29 12:01:52,5,0,14,15,1,0,1
35,2024-05-29 12:01:55,18,0,50,45,1,0,1
34,2024-05-29 12:02:39,7,0,38,38,1,0,1
33,2024-05-29 12:02:45,18,0,52,41,1,0,1
32,2024-05-29 12:05:37,17,0,35,30,1,0,1
31,2024-05-29 12:05:40,17,0,61,71,1,0,1
30,2024-05-29 12:06:34,17,0,57,50,1,0,1
29,2024-05-29 12:17:42,10,0,56,58,1,0,1
28,2024-05-29 12:23:56,14,0,37,36,1,0,1
27,2024-05-29 12:31:47,17,0,60,51,1,0,1
26,2024-05-29 12:49:05,0,14,38,41,1,0,0
25,2024-05-29 12:51:18,17,0,38,35,1,0,1
24,2024-05-29 13:03:58,0,19,21,34,1,0,0
23,2024-05-29 13:05:51,9,0,27,28,1,0,1
22,2024-05-29 13:11:38,0,13,30,32,1,0,0
21,2024-05-29 13:13:30,20,0,63,53,1,0,1
20,2024-05-29 13:14:12,8,0,26,23,1,0,1
19,2024-05-29 13:21:22,0,6,27,24,1,0,0
18,2024-05-29 13:21:25,0,4,33,28,1,0,0
17,2024-05-29 13:21:29,0,4,31,28,1,0,0
16,2024-05-29 13:21:43,0,8,29,28,1,0,0
15,2024-05-29 13:21:46,0,22,55,50,1,0,0
14,2024-05-29 13:21:46,0,19,23,34,1,0,0
13,2024-05-29 13:22:25,0,5,28,25,1,0,0
12,2024-05-29 13:22:29,0,7,29,31,1,0,0
59,2024-05-29 13:22:50,0,32,108,122,1,1,0
58,2024-05-29 13:22:53,0,5,106,101,1,1,0
11,2024-05-29 13:23:03,0,5,34,27,1,0,0
10,2024-05-29 13:23:10,8,0,31,31,1,0,1
9,2024-05-29 13:24:43,0,4,29,25,1,0,0
8,2024-05-29 13:27:40,11,0,27,31,1,0,1
7,2024-05-29 13:27:58,0,13,22,27,1,0,0
6,2024-05-29 13:28:50,10,0,31,33,1,0,1
5,2024-05-29 13:28:59,5,0,30,31,1,0,1
4,2024-05-29 13:29:00,9,0,34,35,1,0,1
3,2024-05-29 13:29:01,5,0,27,32,1,0,1
2,2024-05-29 13:32:44,9,0,36,32,1,0,1
1,2024-05-29 13:33:44,13,0,30,21,1,0,1
57,2024-05-29 13:33:50,12,0,40,35,1,1,1
56,2024-05-29 13:33:52,10,0,67,64,1,1,1
0,2024-05-29 13:42:13,11,0,32,33,1,0,1
