,time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
62,2024-05-23 13:33:06,5,0,63,66,0,1,1
61,2024-05-23 13:34:00,6,0,37,39,0,1,1
60,2024-05-23 13:34:01,8,0,40,39,0,1,1
59,2024-05-23 13:34:02,10,0,36,33,0,1,1
58,2024-05-23 13:34:41,0,5,17,18,0,1,0
57,2024-05-23 13:36:30,0,1,30,29,0,1,0
56,2024-05-23 13:36:31,7,0,24,22,0,1,1
55,2024-05-23 13:38:33,0,3,16,16,0,1,0
54,2024-05-23 13:39:23,7,0,75,77,0,1,1
53,2024-05-23 13:39:34,6,0,45,42,0,1,1
52,2024-05-23 13:39:38,5,0,28,25,0,1,1
51,2024-05-23 13:40:27,0,4,28,29,0,1,0
50,2024-05-23 13:41:41,2,0,22,25,0,1,1
49,2024-05-23 13:41:48,6,0,56,51,0,1,1
48,2024-05-23 13:41:50,0,25,0,13,0,1,6
47,2024-05-23 13:41:52,0,12,54,59,0,1,0
46,2024-05-23 13:41:57,5,0,63,78,0,1,1
45,2024-05-23 13:42:03,0,16,63,74,0,1,0
44,2024-05-23 13:42:17,9,0,87,88,0,1,1
43,2024-05-23 13:42:48,5,0,40,40,0,1,1
42,2024-05-23 13:44:38,19,0,40,26,0,1,1
41,2024-05-23 13:46:40,2,0,22,29,0,1,1
40,2024-05-23 13:50:07,5,0,57,65,0,1,1
39,2024-05-23 13:52:28,0,5,19,20,0,1,0
38,2024-05-23 13:54:55,0,4,29,40,0,1,0
37,2024-05-23 14:10:28,0,2,14,14,0,1,0
36,2024-05-23 14:20:23,5,0,14,12,0,1,1
35,2024-05-23 14:32:38,0,7,26,26,0,1,0
34,2024-05-23 14:32:43,8,0,130,130,0,1,1
4,2024-05-23 14:32:48,0,11,0,103,0,0,6
3,2024-05-23 14:32:49,0,0,347,226,0,0,1
33,2024-05-23 15:14:54,7,0,45,43,0,1,1
32,2024-05-23 15:15:11,0,7,28,31,0,1,0
31,2024-05-23 15:15:12,0,5,23,25,0,1,0
2,2024-05-23 15:15:44,0,14,100,107,0,0,0
30,2024-05-23 15:16:06,0,12,45,61,0,1,0
29,2024-05-23 15:16:07,0,4,49,52,0,1,0
28,2024-05-23 15:16:09,2,0,35,29,0,1,1
27,2024-05-23 15:16:10,0,8,27,30,0,1,0
26,2024-05-23 15:16:12,0,2,69,38,0,1,0
25,2024-05-23 15:16:14,0,27,0,33,0,1,6
24,2024-05-23 15:16:15,0,4,21,21,0,1,0
1,2024-05-23 15:16:27,0,24,59,65,0,0,0
0,2024-05-23 15:16:28,0,5,36,29,0,0,0
23,2024-05-23 15:17:12,0,6,38,41,0,1,0
22,2024-05-23 15:17:18,9,0,105,77,0,1,1
21,2024-05-23 15:17:20,0,13,0,11,0,1,6
20,2024-05-23 15:17:31,5,0,74,78,0,1,1
19,2024-05-23 15:17:33,6,0,126,141,0,1,1
18,2024-05-23 15:17:40,0,8,41,46,0,1,0
17,2024-05-23 15:17:50,0,45,249,0,0,1,5
16,2024-05-23 15:17:51,0,0,183,513,0,1,1
15,2024-05-23 15:17:52,4,0,35,35,0,1,1
14,2024-05-23 15:17:58,4,0,32,30,0,1,1
13,2024-05-23 15:18:06,3,0,39,44,0,1,1
12,2024-05-23 15:18:08,0,2,26,27,0,1,0
11,2024-05-23 15:18:23,4,0,29,28,0,1,1
10,2024-05-23 15:19:07,0,2,24,25,0,1,0
9,2024-05-23 15:20:43,4,0,22,23,0,1,1
8,2024-05-23 15:21:51,2,0,30,32,0,1,1
7,2024-05-23 15:22:12,3,0,29,30,0,1,1
6,2024-05-23 15:28:37,0,6,28,27,0,1,0
5,2024-05-23 15:28:41,23,0,87,77,0,1,1
