time,people_in,people_out,people_inside
2024-06-18 13:30:00,1,14,1
2024-06-18 13:31:00,1,21,1
2024-06-18 13:32:00,2,26,2
2024-06-18 13:33:00,2,26,2
2024-06-18 13:34:00,2,26,2
2024-06-18 13:35:00,2,26,2
2024-06-18 13:36:00,2,26,2
2024-06-18 13:37:00,2,26,2
2024-06-18 13:38:00,4,26,4
2024-06-18 13:39:00,6,26,6
2024-06-18 13:40:00,6,26,6
2024-06-18 13:41:00,6,26,6
2024-06-18 13:42:00,7,26,7
2024-06-18 13:43:00,7,26,7
2024-06-18 13:44:00,7,26,7
2024-06-18 13:45:00,1,0,8
2024-06-18 13:46:00,1,0,8
2024-06-18 13:47:00,1,0,8
2024-06-18 13:48:00,1,0,8
2024-06-18 13:49:00,1,0,8
2024-06-18 13:50:00,3,0,10
2024-06-18 13:51:00,3,0,10
2024-06-18 13:52:00,3,0,10
2024-06-18 13:53:00,3,0,10
2024-06-18 13:54:00,3,0,10
2024-06-18 13:55:00,3,0,10
2024-06-18 13:56:00,3,0,10
2024-06-18 13:57:00,3,0,10
2024-06-18 13:58:00,3,0,10
2024-06-18 13:59:00,3,0,10
2024-06-18 14:00:00,3,0,10
2024-06-18 14:01:00,3,0,10
2024-06-18 14:02:00,3,0,10
2024-06-18 14:03:00,3,0,10
2024-06-18 14:04:00,3,0,10
2024-06-18 14:05:00,3,0,10
2024-06-18 14:06:00,3,0,10
2024-06-18 14:07:00,3,0,10
2024-06-18 14:08:00,3,0,10
2024-06-18 14:09:00,3,0,10
2024-06-18 14:10:00,3,0,10
2024-06-18 14:11:00,3,0,10
2024-06-18 14:12:00,3,0,10
2024-06-18 14:13:00,3,0,10
2024-06-18 14:14:00,3,0,10
2024-06-18 14:15:00,3,0,10
2024-06-18 14:16:00,3,0,10
2024-06-18 14:17:00,3,0,10
2024-06-18 14:18:00,3,0,10
2024-06-18 14:19:00,3,0,10
2024-06-18 14:20:00,3,0,10
2024-06-18 14:21:00,3,0,10
2024-06-18 14:22:00,3,0,10
2024-06-18 14:23:00,3,0,10
2024-06-18 14:24:00,3,0,10
2024-06-18 14:25:00,3,0,10
2024-06-18 14:26:00,3,0,10
2024-06-18 14:27:00,3,0,10
2024-06-18 14:28:00,3,0,10
2024-06-18 14:29:00,3,0,10
2024-06-18 14:30:00,3,0,10
2024-06-18 14:31:00,3,0,10
2024-06-18 14:32:00,3,0,10
2024-06-18 14:33:00,3,0,10
2024-06-18 14:34:00,3,0,10
2024-06-18 14:35:00,3,0,10
2024-06-18 14:36:00,3,0,10
2024-06-18 14:37:00,3,2,8
2024-06-18 14:38:00,3,5,5
2024-06-18 14:39:00,3,7,3
2024-06-18 14:40:00,3,7,3
2024-06-18 14:41:00,3,7,3
2024-06-18 14:42:00,3,7,3
2024-06-18 14:43:00,3,7,3
2024-06-18 14:44:00,3,7,3
2024-06-18 14:45:00,3,7,3
2024-06-18 14:46:00,3,7,3
2024-06-18 14:47:00,3,7,3
2024-06-18 14:48:00,3,7,3
2024-06-18 14:49:00,3,7,3
2024-06-18 14:50:00,3,7,3
2024-06-18 14:51:00,3,7,3
2024-06-18 14:52:00,3,7,3
2024-06-18 14:53:00,3,7,3
2024-06-18 14:54:00,3,7,3
2024-06-18 14:55:00,3,7,3
2024-06-18 14:56:00,3,7,3
2024-06-18 14:57:00,3,7,3
2024-06-18 14:58:00,3,7,3
2024-06-18 14:59:00,3,7,3
2024-06-18 15:00:00,3,7,3
2024-06-18 15:01:00,3,7,3
2024-06-18 15:02:00,3,7,3
2024-06-18 15:03:00,3,7,3
2024-06-18 15:04:00,3,7,3
2024-06-18 15:05:00,3,7,3
2024-06-18 15:06:00,3,7,3
2024-06-18 15:07:00,3,7,3
2024-06-18 15:08:00,3,7,3
2024-06-18 15:09:00,3,7,3
2024-06-18 15:10:00,3,7,3
2024-06-18 15:11:00,3,7,3
2024-06-18 15:12:00,3,7,3
2024-06-18 15:13:00,3,7,3
2024-06-18 15:14:00,3,7,3
2024-06-18 15:15:00,0,0,3
2024-06-18 15:16:00,0,0,3
2024-06-18 15:17:00,0,0,3
2024-06-18 15:18:00,0,0,3
2024-06-18 15:19:00,1,0,3
2024-06-18 15:20:00,1,0,3
2024-06-18 15:21:00,2,0,3
2024-06-18 15:22:00,7,0,3
2024-06-18 15:23:00,7,0,3
2024-06-18 15:24:00,8,0,3
2024-06-18 15:25:00,9,0,3
2024-06-18 15:26:00,9,0,3
2024-06-18 15:27:00,9,0,3
2024-06-18 15:28:00,9,0,3
2024-06-18 15:29:00,10,0,3
