LVA-Nr.,LVA-Titel,Typ,Art,LeiterIn,Sem.,ECTS,SSt.,Nächster Termin,max_students,registered_students,no_dates_total,Abhaltungssprache_subinfo,Institut,E-Mail,Ausbildungslevel,Studienfachbereich,Anbietende Uni,Quellcurriculum,Beurteilungskriterien,Lehrmethoden,Abhaltungssprache_studyhandbook,Literatur,Lehrinhalte wechselnd?,Sonstige Informationen,Studienfach
340.100,Algorithmen und Datenstrukturen 1,VO,Präsenz,Alois Ferscha,2024S,"3,00","2,0",Do. 14.11.24 08:30 - 10:00,200,194,15.0,German,I. Pervasive Computing,teaching@pervasive.jku.at,B1 - Bachelor 1. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik 2021S,Klausur am Semesterende ,Foliengestützter Vortrag,Deutsch,Folien werden im Kursbereich in Moodle zur Verfügung gestellt. Ergänzende Literatur wird in der Lehrveranstaltung bekannt gegeben. ,Nein,https://www.pervasive.jku.at/Teaching/,Software
531.163,Analysis II,UE,Präsenz,Jan-Michael Holzinger,2024S,"2,00","1,0",Letzter Termin vorbei,25,10,8.0,German,A. MINT Didaktik,jan-michael.holzinger@jku.at,,,,,,,,,,,Not available
531.160,Analysis II,VO,Präsenz,Friedrich Pillichshammer,2024S,"3,00","3,0",Mi. 23.10.24 08:30 - 10:00,100,101,29.0,German,A. MINT Didaktik,friedrich.pillichshammer@jku.at,,,,,,,,,,,Not available
239.141,Behavioral Economics,KS,Präsenz,Matthias Fahn,2024S,"3,00","2,0",Letzter Termin vorbei,200,145,10.0,English,I. Volkswirtschaftslehre,,B2 - Bachelor 2. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2021W,Klausur,"Vortrag und Diskussion, Experimente",Englisch,Folien,Nein,,Wahlfächer
376.027,Bionics - biomimetic Materials and Polymers,VL,Präsenz,Oliver Brüggemann,2024S,"1,50","1,0",Letzter Termin vorbei,50,50,4.0,English,I. Chemie der Polymere,oliver.brueggemann@jku.at,M1 - Master 1. Jahr,Chemie,Johannes Kepler Universität Linz,Masterstudium Polymer Chemistry (auslaufend mit 28.2.2027) 2024W,(*)Written examination,(*)LectureQuestions allowed during the lecture,English and German,"(*)a) Bionik, Werner Nachtigall.
b) Biomimetic Materials Chemistry, Stephen Mann.",Nein,,Wahlfächer
257.350,Business Engineering & Management,UE,Präsenz,Harald Lerchner,2024S,"3,00","2,0",Letzter Termin vorbei,30,13,11.0,German,I. WI Communications Engineering,,M1 - Master 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Masterstudium Wirtschaftsinformatik 2024W,"Ausarbeitung, Präsentation und Diskussion von Fallbeispielen und Spezialthemen",Angeleitete Explorierung und Reflexion,deutsch/englisch,Wird zu Beginn der Lehrveranstaltung seitens der Lehrveranstaltungsleitung bekannt gegeben.,Nein,,Spezialkompetenz Wirtschaftsinformatik
257.320,Business Engineering & Management,VL,Präsenz,Harald Lerchner,2024S,"3,00","2,0",Letzter Termin vorbei,40,33,10.0,German,I. WI Communications Engineering,,M1 - Master 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Masterstudium Wirtschaftsinformatik 2024W,Klausur (100%),"Impulsreferate, interaktive Elemente",deutsch/englisch,Wird zu Beginn der Lehrveranstaltung seitens der Lehrveranstaltungsleitung bekannt gegeben.,Nein,,Spezialkompetenz Wirtschaftsinformatik
364.000,Computer Graphics,VO,Präsenz,Oliver Bimber,2024S,"3,00","2,0",Letzter Termin vorbei,200,185,12.0,English,I. für Computergrafik,oliver.bimber@jku.at,B3 - Bachelor 3. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik 2021S,"Zwischenprüfung e-Exam (Moodle Test) 
abschließende e-Prüfung (Moodle-Test)",PowerPoint Slides,Englisch,"Fundamentals of Computer Graphics, Peter Shirley and Steve Marschner, CRC Press, A K Peters, ISBN: 1568814690, 2009
Transformations and Projections in Computer Graphics, David Salomon, Springer, ISBN: 9781846283925, 2006
Radiosity and Realistic Image Synthesis, Hanrahan and Greenberg, Morgan Kaufmann, ISBN: 0121782700, 1993
Real-Time Rendering, Akenine-Möller, Haines, and Hoffman, 3rd edition, AK Peters, ISBN: 1568814240, 2008
Information Visualization: Perception for Design, Colin Ware, Morgan Kaufmann, ISBN: 1558608192, 2004
Information Visualization: Design for Interaction, Robert Spence, Prentice Hall, ISBN: 978-0132065504, 2006
Real-Time Shading, Marc Olano, John Hart, and Wolfgang Heidrich, Peters, Wellesley, ISBN: 1568811802, 2002
Data Visualization: Principle and Practice, Alexandru C. Thela, AK Peters, CRC Press, ISBN: 978-1-56881-306-6, 2008",Nein,,Anwendungen
258.300,Data & Knowledge Engineering,VL,Präsenz,Michael Schrefl,2024S,"3,00","2,0",Di. 04.02.25 15:30 - 18:30,200,132,14.0,German,I. WI Data & Knowledge Engineering,dke.win@jku.at,B2 - Bachelor 2. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik 2022W,Klausur (gemeinsam mit Übungsklausur): 2 Teile je 60 Minuten,Siehe Studienmodul  Methoden und Konzepte des Data & Knowledge Engineering (Sonstige Informationen)	,Deutsch,"Basisliteratur: 
Garcia-Molina, H.; Ullman, J. D.; Widom, J.: Database Systems – The Complete Book. Prentice Hall, in der aktuellen Auflage. 
Russell, S; Norvig, P.: Artificial Intelligence. International Version. Addison Wesley, in der aktuellen Auflage.
Kemper, S.; Eickler, A.: Datenbank Systeme: Eine Einführung. Oldenbourg Verlag, in der aktuellen Auflage.
Ergänzungsliteratur wird in jedem Semester bekannt gegeben.",Nein,Siehe Studienmodul  Methoden und Konzepte des Data & Knowledge Engineering,Data & Knowledge Engineering
258.410,Data Mining,VL,Präsenz,Christoph Georg Schütz,2024S,"3,00","2,0",Letzter Termin vorbei,150,170,10.0,English,I. WI Data & Knowledge Engineering,christoph.schuetz@jku.at,M1 - Master 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Masterstudium Wirtschaftsinformatik 2023W,Schriftliche Klausur,"Die Lehrinhalte werden vermittelt mittels Methoden des Blended Learning, insbesondere Flipped Classroom, mit interaktiven Elementen zur Festigung des Wissens.",deutsch/englisch,"Basisliteratur:
Han, J.; Kamber, M.: Data Mining: Concepts and Techniques. Morgan Kaufmann, in der aktuellen Auflage.
Ergänzungsliteratur:
Witten, I. H.; Hall, M.: Data Mining: Practical Machine Learning Tools and Techniques. Morgan Kaufmann, in der aktuellen Auflage.
Kotu, V.; Deshpande, B.: Predictive Analytics and Data Mining: Concepts and Practice with Rapidminer. Morgan Kaufmann, in der aktuellen Auflage.
Van der Aalst, W.: Process Mining. Springer, in der aktuellen Auflage.
Liu, B.: Web Data Mining: Exploring Hyperlinks, Contents, and Usage Data. Springer Verlag, in der aktuellen Auflage.
Weitere Ergänzungsliteratur wird in jedem Semester bekannt gegeben.",Nein,,Wahlfach Wirtschaftsinformatik
