LVA-Nr.,LVA-Titel,Typ,Art,LeiterIn,Sem.,ECTS,SSt.,Nächster Termin,max_students,registered_students,no_dates_total,Abhaltungssprache_subinfo,Institut,E-Mail,Studienfach,Ausbildungslevel,Studienfachbereich,Anbietende Uni,Quellcurriculum,Beurteilungskriterien,Lehrmethoden,Abhaltungssprache_studyhandbook,Literatur,Lehrinhalte wechselnd?,Sonstige Informationen
531.150,Analysis I,VO,Präsenz,Markus Passenbrunner,2024W,"5,00","5,0",Do. 24.10.24 10:15 - 11:45,125,105,45.0,German,A. MINT Didaktik,markus.passenbrunner@jku.at,Not available,,,,,,,,,,
250.721,Bilanzierung nach UGB,KS,Präsenz,Daniela Neuhauser,2024W,"3,00","2,0",Mo. 28.10.24 10:15 - 13:30,200,61,10.0,German,I. Unternehmensrg. u. Wirtschaftsprüfung,,Pflichtfächer,B1 - Bachelor 1. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,,,,,,,
510.250,Cloud Computing,KV,Präsenz,Rick Rabiser,2024W,"1,50","1,0",Mi. 23.10.24 15:30 - 17:00,30,33,7.0,English,LIT Cyber-Physical Systems Lab,,Vertiefung,M2 - Master 2. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science 2023W,"(*)Students have to present results of a project to be completed as homework (60%). Also, there will be a written exam at the end of the lecture (40%). Both parts have to be completed with a positive mark.",(*)Mix of presentations and practical work combined with a project as homework.,Englisch,"(*)Slides, examples, video recordings of lectures.",Nein,(*)Please contact the lecturers for further information.
257.111,Communications Engineering,UE,Präsenz,Richard Heininger,2024W,"3,00","2,0",Mi. 23.10.24 15:30 - 17:00,30,25,10.0,German,I. WI Communications Engineering,richard.heininger@jku.at,Communications Engineering,B - Bachelor,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik 2022W,Beurteilung der abzugebenden Aufgabenausarbeitungen,Angeleitete Explorierung und Reflexion,Deutsch,"Basisliteratur: 
Comer, D. E.: Computernetzwerke und Internets – mit Internet-Anwendungen. Pearson, München, in der aktuellen Auflage.
Coulouris, G.; Dollimore, J.; Kindberg, T.: Distributed Systems - Concepts and Design. Pearson, 2005.
Kurose, J. F.; Ross, K. W.: Computernetzwerke. Der Top-Down-Ansatz“. Pearson, München, in der aktuellen Auflage.
Störrle, H.: UML 2 für Studenten. Pearson, München, 2005.
Ergänzungsliteratur wird in jedem Semester bekannt gegeben.",Nein,"Theorie-Inputs, Einzel- und Gruppenarbeiten"
257.113,Communications Engineering,UE,Präsenz,Thomas Jost,2024W,"3,00","2,0",Mi. 23.10.24 15:30 - 17:00,30,32,10.0,German,I. WI Communications Engineering,thomas.jost@jku.at,Communications Engineering,B - Bachelor,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik 2022W,Beurteilung der abzugebenden Aufgabenausarbeitungen,Angeleitete Explorierung und Reflexion,Deutsch,"Basisliteratur: 
Comer, D. E.: Computernetzwerke und Internets – mit Internet-Anwendungen. Pearson, München, in der aktuellen Auflage.
Coulouris, G.; Dollimore, J.; Kindberg, T.: Distributed Systems - Concepts and Design. Pearson, 2005.
Kurose, J. F.; Ross, K. W.: Computernetzwerke. Der Top-Down-Ansatz“. Pearson, München, in der aktuellen Auflage.
Störrle, H.: UML 2 für Studenten. Pearson, München, 2005.
Ergänzungsliteratur wird in jedem Semester bekannt gegeben.",Nein,"Theorie-Inputs, Einzel- und Gruppenarbeiten"
257.114,Communications Engineering,UE,Präsenz,Udo Kannengiesser,2024W,"3,00","2,0",Mi. 23.10.24 15:30 - 17:00,30,35,10.0,German,I. WI Communications Engineering,udo.kannengiesser@jku.at,Communications Engineering,B - Bachelor,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik 2022W,Beurteilung der abzugebenden Aufgabenausarbeitungen,Angeleitete Explorierung und Reflexion,Deutsch,"Basisliteratur: 
Comer, D. E.: Computernetzwerke und Internets – mit Internet-Anwendungen. Pearson, München, in der aktuellen Auflage.
Coulouris, G.; Dollimore, J.; Kindberg, T.: Distributed Systems - Concepts and Design. Pearson, 2005.
Kurose, J. F.; Ross, K. W.: Computernetzwerke. Der Top-Down-Ansatz“. Pearson, München, in der aktuellen Auflage.
Störrle, H.: UML 2 für Studenten. Pearson, München, 2005.
Ergänzungsliteratur wird in jedem Semester bekannt gegeben.",Nein,"Theorie-Inputs, Einzel- und Gruppenarbeiten"
339.280,Compilerbau,VO,Präsenz,Hanspeter Mössenböck,2024W,"3,00","2,0",Do. 24.10.24 08:30 - 10:00,170,168,13.0,German,I. Systemsoftware,hanspeter.moessenboeck@jku.at,Systeme,B3 - Bachelor 3. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik 2024W,Schriftliche Klausur am Semesterende.,Folienvortrag mit Beispielen an der Tafel.,Deutsch,Siehe http://ssw.jku.at/Teaching/Lectures/CB/VL/,Nein,Für nähere Informationen siehe http://ssw.jku.at/Teaching/Lectures/CB/VL/
326.031,Computer Algebra,UE,Präsenz,Günter Landsmann,2024W,"1,50","1,0",Di. 22.10.24 15:30 - 16:15,60,26,15.0,English,I. Symbolisches Rechnen,Guenter.Landsmann@risc.jku.at,(*)Complementary Subject,B3 - Bachelor 3. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Technische Mathematik 2023W,,,Englisch,"Joachim von zur Gathen and Jürgen Gerhard, ""Modern Computer Algebra"", Cambridge University Press, 2013 (or earlier versions)
F.Winkler, ""Polynomial Algorithms in Computer Algebra"", Springer-Verlag Wien New York (1996)",Nein,
326.105,Computer Algebra,VL,Präsenz,Carsten Schneider,2024W,"3,00","2,0",Di. 22.10.24 16:15 - 18:00,60,38,15.0,English,I. Symbolisches Rechnen,Carsten.Schneider@risc.jku.at,(*)Complementary Subject,B3 - Bachelor 3. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Technische Mathematik 2023W,(*)Depending on the needs of the participants there will be a written or oral exam. ,(*)The different algorithms will be presented on the blackboard. Concrete examples will be carried out with the computer.,Englisch,"(*)Joachim von zur Gathen and Jürgen Gerhard, ""Modern Computer Algebra"", Cambridge University Press, 2013 (or earlier versions).",Nein,
353.068,Computer Forensics and IT Law,VL,Präsenz,Michael Sonntag,2024W,"3,00","2,0",Do. 24.10.24 12:00 - 13:30,150,140,12.0,English,I. Netzwerke und Sicherheit,lva@ins.jku.at,(*)Major Subject,M1 - Master 1. Jahr,Informatik,Johannes Kepler Universität Linz,Masterstudium Computer Science 2022W,(*)Written exam,(*)Lecture and discussion,Englisch,(*)Slides,Nein,(*)https://www.jku.at/en/institute-of-networks-and-security/
