,Tutorium|Test|Cancelled,CourseType,CourseNumber,Registered,HourOfDay,Lecture,AvgOccupancy,DayOfWeek,StudyArea,Exam,Weather
Tutorium|Test|Cancelled,21,20,20,14,11,10,10,8,4,0,0
CourseType,20,20,19,13,10,9,10,8,3,0,0
CourseNumber,20,19,20,13,10,10,10,7,3,0,0
Registered,14,13,13,14,7,5,6,6,4,0,0
HourOfDay,11,10,10,7,11,5,5,5,2,0,0
Lecture,10,9,10,5,5,10,5,3,3,0,0
AvgOccupancy,10,10,10,6,5,5,10,3,0,0,0
DayOfWeek,8,8,7,6,5,3,3,8,2,0,0
StudyArea,4,3,3,4,2,3,0,2,4,0,0
Exam,0,0,0,0,0,0,0,0,0,0,0
Weather,0,0,0,0,0,0,0,0,0,0,0
