,Tutorium|Test|Cancelled,CourseNumber,CourseType,Registered,Lecture,StudyArea,DayOfWeek,HourOfDay,AvgOccupancy,Exam,Weather
Tutorium|Test|Cancelled,43,39,37,24,21,20,21,19,16,3,0
CourseNumber,39,41,36,21,21,17,17,19,16,3,0
CourseType,37,36,39,22,17,16,19,20,14,2,0
Registered,24,21,22,25,11,13,12,14,8,1,0
Lecture,21,21,17,11,23,11,9,10,9,1,0
StudyArea,20,17,16,13,11,21,11,10,2,3,0
DayOfWeek,21,17,19,12,9,11,21,9,6,3,0
HourOfDay,19,19,20,14,10,10,9,21,7,0,0
AvgOccupancy,16,16,14,8,9,2,6,7,16,0,0
Exam,3,3,2,1,1,3,3,0,0,3,0
Weather,0,0,0,0,0,0,0,0,0,0,0
