,Tutorium|Test|Cancelled,CourseNumber,CourseType,Lecture,Registered,HourOfDay,DayOfWeek,StudyArea,AvgOccupancy,Exam,Weather
Tutorium|Test|Cancelled,1.0,0.73874,0.64865,0.63964,0.56757,0.53153,0.52252,0.44144,0.44144,0.08108,0.0
CourseNumber,0.79612,1.0,0.72816,0.61165,0.53398,0.51456,0.40777,0.39806,0.37864,0.09709,0.0
CourseType,0.75,0.78125,1.0,0.5,0.60417,0.54167,0.44792,0.41667,0.375,0.08333,0.0
Lecture,0.82558,0.73256,0.55814,1.0,0.55814,0.55814,0.45349,0.4186,0.46512,0.03488,0.0
Registered,0.77778,0.67901,0.71605,0.59259,1.0,0.5679,0.46914,0.4321,0.39506,0.07407,0.0
HourOfDay,0.77632,0.69737,0.68421,0.63158,0.60526,1.0,0.44737,0.46053,0.43421,0.02632,0.0
DayOfWeek,0.93548,0.67742,0.69355,0.62903,0.6129,0.54839,1.0,0.48387,0.3871,0.09677,0.0
StudyArea,0.83051,0.69492,0.67797,0.61017,0.59322,0.59322,0.50847,1.0,0.22034,0.15254,0.0
AvgOccupancy,0.83051,0.66102,0.61017,0.67797,0.54237,0.55932,0.40678,0.22034,1.0,0.0,0.0
Exam,0.9,1.0,0.8,0.3,0.6,0.2,0.6,0.9,0.0,1.0,0.0
Weather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
