,Tutorium|Test|Cancelled,CourseNumber,CourseType,Registered,Lecture,StudyArea,DayOfWeek,HourOfDay,AvgOccupancy,Exam,Weather
Tutorium|Test|Cancelled,1.0,0.90698,0.86047,0.55814,0.48837,0.46512,0.48837,0.44186,0.37209,0.06977,0.0
CourseNumber,0.95122,1.0,0.87805,0.5122,0.5122,0.41463,0.41463,0.46341,0.39024,0.07317,0.0
CourseType,0.94872,0.92308,1.0,0.5641,0.4359,0.41026,0.48718,0.51282,0.35897,0.05128,0.0
Registered,0.96,0.84,0.88,1.0,0.44,0.52,0.48,0.56,0.32,0.04,0.0
Lecture,0.91304,0.91304,0.73913,0.47826,1.0,0.47826,0.3913,0.43478,0.3913,0.04348,0.0
StudyArea,0.95238,0.80952,0.7619,0.61905,0.52381,1.0,0.52381,0.47619,0.09524,0.14286,0.0
DayOfWeek,1.0,0.80952,0.90476,0.57143,0.42857,0.52381,1.0,0.42857,0.28571,0.14286,0.0
HourOfDay,0.90476,0.90476,0.95238,0.66667,0.47619,0.47619,0.42857,1.0,0.33333,0.0,0.0
AvgOccupancy,1.0,1.0,0.875,0.5,0.5625,0.125,0.375,0.4375,1.0,0.0,0.0
Exam,1.0,1.0,0.66667,0.33333,0.33333,1.0,1.0,0.0,0.0,1.0,0.0
Weather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
