in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type,datetime
0,13,37,39,0,0,0,2024-04-08 07:30:31
55,0,35,26,0,0,1,2024-04-08 07:30:47
13,0,48,48,0,0,1,2024-04-08 07:30:49
0,4,30,33,0,1,0,2024-04-08 07:35:12
8,0,29,33,0,1,1,2024-04-08 07:35:17
0,6,33,37,0,1,0,2024-04-08 07:37:33
14,0,44,36,1,0,1,2024-04-08 07:37:45
0,11,25,29,1,0,0,2024-04-08 07:38:04
7,0,49,55,0,1,1,2024-04-08 07:38:17
0,10,48,48,0,0,0,2024-04-08 07:54:52
4,0,90,96,1,0,1,2024-04-08 09:20:07
11,0,35,35,1,0,1,2024-04-08 09:29:24
19,0,45,35,1,0,1,2024-04-08 09:30:31
9,0,40,41,1,0,1,2024-04-08 09:45:42
22,0,58,45,1,0,1,2024-04-08 09:46:23
22,0,82,78,1,0,1,2024-04-08 09:51:28
12,0,35,33,1,0,1,2024-04-08 09:52:16
16,0,58,52,1,0,1,2024-04-08 10:04:11
29,0,59,39,1,0,1,2024-04-08 10:04:27
11,0,41,50,1,0,1,2024-04-08 10:04:29
0,15,52,44,1,0,0,2024-04-08 10:04:32
8,0,106,102,1,0,1,2024-04-08 10:04:38
7,0,44,46,1,0,1,2024-04-08 10:04:46
5,0,30,30,1,0,1,2024-04-08 10:04:47
0,23,70,86,1,0,0,2024-04-08 10:04:49
15,0,45,41,1,0,1,2024-04-08 10:05:57
14,0,33,28,1,0,1,2024-04-08 10:06:02
14,0,35,37,1,0,1,2024-04-08 10:06:04
32,0,63,40,1,0,1,2024-04-08 10:06:08
13,0,138,194,1,0,1,2024-04-08 10:06:13
92,0,131,65,1,0,1,2024-04-08 10:06:32
19,0,37,41,1,0,1,2024-04-08 10:08:02
18,0,50,43,1,0,1,2024-04-08 10:08:07
12,0,70,66,1,0,1,2024-04-08 10:08:10
16,0,38,30,1,0,1,2024-04-08 10:08:21
23,0,52,58,1,0,1,2024-04-08 10:08:22
20,0,43,30,1,0,1,2024-04-08 10:08:35
8,0,43,40,1,0,1,2024-04-08 10:09:34
23,0,98,93,1,0,1,2024-04-08 10:09:36
0,8,40,48,1,0,0,2024-04-08 10:10:09
