course_number,weekday,room,note,exam,test,tutorium,room_id,start_time,end_time,room_capacity,calendar_week,cancelled,offsite
340.100,Mi.,HS 7,Joint Introduction,False,False,False,-1,2024-03-06 08:30:00,2024-03-06 10:00:00,-1,10,False,False
340.100,Mi.,HS 7 or zoom,,False,False,False,-1,2024-03-13 08:30:00,2024-03-13 10:00:00,-1,11,False,True
340.100,Mi.,HS 7/ zoom,,False,False,False,-1,2024-03-20 08:30:00,2024-03-20 10:00:00,-1,12,False,True
340.100,Di.,HS 18,,False,False,False,0,2024-04-09 10:15:00,2024-04-09 11:45:00,164,15,False,False
340.100,Di.,HS 18,,False,False,False,0,2024-04-16 10:15:00,2024-04-16 11:45:00,164,16,False,False
340.100,Di.,HS 18,,False,False,False,0,2024-04-23 10:15:00,2024-04-23 11:45:00,164,17,False,False
340.100,Di.,HS 18,,False,False,False,0,2024-05-07 10:15:00,2024-05-07 11:45:00,164,19,False,False
340.100,Di.,HS 18,,False,False,False,0,2024-05-14 10:15:00,2024-05-14 11:45:00,164,20,False,False
340.100,Mi.,HS 7/ zoom,,False,False,False,-1,2024-05-22 08:30:00,2024-05-22 10:00:00,-1,21,False,True
340.100,Mi.,HS 7/ zoom,,False,False,False,-1,2024-05-29 08:30:00,2024-05-29 10:00:00,-1,22,False,True
340.100,Di.,HS 18,,False,False,False,0,2024-06-04 10:15:00,2024-06-04 11:45:00,164,23,False,False
340.100,Di.,HS 18,,False,False,False,0,2024-06-11 10:15:00,2024-06-11 11:45:00,164,24,False,False
340.100,Di.,HS 18,,False,False,False,0,2024-06-18 10:15:00,2024-06-18 11:45:00,164,25,False,False
340.100,Mi.,HS 19,Exam (I-Z),True,False,False,1,2024-06-26 08:30:00,2024-06-26 10:00:00,152,26,False,False
340.100,Mi.,HS 5,Exam (A-H),True,False,False,-1,2024-06-26 08:30:00,2024-06-26 10:00:00,-1,26,False,False
340.100,Mo.,HS 1,Retry 1,True,False,False,-1,2024-09-30 12:00:00,2024-09-30 13:30:00,-1,40,False,False
340.100,Do.,HS 1,Retry 2,True,False,False,-1,2024-11-14 08:30:00,2024-11-14 10:00:00,-1,46,False,False
531.163,Mi.,K 224B,,False,False,False,-1,2024-03-13 13:45:00,2024-03-13 15:15:00,-1,11,False,False
531.163,Mi.,K 224B,,False,False,False,-1,2024-03-20 13:45:00,2024-03-20 15:15:00,-1,12,False,False
531.163,Mi.,K 224B,,False,False,False,-1,2024-04-10 13:45:00,2024-04-10 15:15:00,-1,15,False,False
