IK,KS,KV,RE,UE,UV,VL,VO,VU,calendarweek,calendarweek1,calendarweek2,coursenumber,exam,occount,occrate,registered,roomid,starttime,starttime1,starttime2,test,tutorium,weekday,weekday1,weekday2
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,258.410,False,0,0,170,0,2024-04-08 12:00:00,1.2246467991473532e-16,-1.0,False,False,Mo.,0.0,1.0
0,0,0,0,0,0,0,0,1,15,0.9709418174260521,-0.2393156642875575,231.115,False,0,0,72,1,2024-04-08 12:00:00,1.2246467991473532e-16,-1.0,False,False,Mo.,0.0,1.0
0,1,0,0,0,0,0,0,0,15,0.9709418174260521,-0.2393156642875575,190.035,False,0,0,64,1,2024-04-08 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Mo.,0.0,1.0
0,1,0,0,0,0,0,0,0,15,0.9709418174260521,-0.2393156642875575,238.213,False,0,0,160,0,2024-04-08 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Mo.,0.0,1.0
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,140.004,False,0,0,119,1,2024-04-08 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Mo.,0.0,1.0
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,360.001,False,0,0,242,0,2024-04-08 17:15:00,-0.9807852804032303,-0.19509032201612866,False,True,Mo.,0.0,1.0
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,361.001,False,0,0,264,0,2024-04-09 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,0,1,0,15,0.9709418174260521,-0.2393156642875575,366.560,False,0,0,148,1,2024-04-09 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,0,1,0,15,0.9709418174260521,-0.2393156642875575,340.100,False,0,0,194,0,2024-04-09 10:15:00,0.4422886902190013,-0.8968727415326883,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,360.001,False,0,0,242,1,2024-04-09 10:15:00,0.4422886902190013,-0.8968727415326883,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,259.002,False,0,0,223,0,2024-04-09 12:00:00,1.2246467991473532e-16,-1.0,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,382.037,False,0,0,139,1,2024-04-09 12:00:00,1.2246467991473532e-16,-1.0,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,0,1,0,15,0.9709418174260521,-0.2393156642875575,364.000,False,0,0,185,0,2024-04-09 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,0,1,0,15,0.9709418174260521,-0.2393156642875575,340.400,False,0,0,140,0,2024-04-09 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,0,0,1,15,0.9709418174260521,-0.2393156642875575,229.054,False,0,0,138,1,2024-04-09 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,371.000,False,0,0,148,0,2024-04-10 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,0,1,0,15,0.9709418174260521,-0.2393156642875575,531.170,False,0,0,97,0,2024-04-10 10:15:00,0.4422886902190013,-0.8968727415326883,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,0,1,0,15,0.9709418174260521,-0.2393156642875575,325.004,False,0,0,20,0,2024-04-10 10:15:00,0.4422886902190013,-0.8968727415326883,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,1,0,0,0,0,0,0,15,0.9709418174260521,-0.2393156642875575,259.022,False,0,0,62,1,2024-04-10 12:00:00,1.2246467991473532e-16,-1.0,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,258.300,False,0,0,132,0,2024-04-10 12:00:00,1.2246467991473532e-16,-1.0,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,257.200,False,0,0,152,0,2024-04-10 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,1,0,0,0,0,15,0.9709418174260521,-0.2393156642875575,365.232,False,0,0,46,1,2024-04-10 14:30:00,-0.6087614290087203,-0.7933533402912354,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,1,0,0,0,0,15,0.9709418174260521,-0.2393156642875575,257.213,False,0,0,16,0,2024-04-10 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,358.001,False,0,0,236,1,2024-04-11 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,371.000,False,0,0,148,0,2024-04-11 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,15,0.9709418174260521,-0.2393156642875575,531.240,False,0,0,60,1,2024-04-11 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,15,0.9709418174260521,-0.2393156642875575,531.242,False,0,0,28,1,2024-04-11 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,15,0.9709418174260521,-0.2393156642875575,531.241,False,0,0,20,1,2024-04-11 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,15,0.9709418174260521,-0.2393156642875575,531.240,False,0,0,60,1,2024-04-11 14:30:00,-0.6087614290087203,-0.7933533402912354,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,0,0,1,0,15,0.9709418174260521,-0.2393156642875575,339.170,False,0,0,216,1,2024-04-11 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,1,0,0,0,0,0,15,0.9709418174260521,-0.2393156642875575,150.004,False,0,0,100,0,2024-04-11 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,1,0,0,0,0,0,0,15,0.9709418174260521,-0.2393156642875575,190.300,False,0,0,118,1,2024-04-11 17:15:00,-0.9807852804032303,-0.19509032201612866,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,361.001,False,0,0,264,1,2024-04-12 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Fr.,-0.433883739117558,-0.9009688679024191
0,0,0,0,0,0,1,0,0,15,0.9709418174260521,-0.2393156642875575,383.028,False,0,0,156,1,2024-04-12 12:00:00,1.2246467991473532e-16,-1.0,False,False,Fr.,-0.433883739117558,-0.9009688679024191
0,0,0,0,0,0,0,1,0,16,0.9350162426854148,-0.3546048870425357,367.145,False,0,0,2,0,2024-04-15 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Mo.,0.0,1.0
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,258.410,False,0,0,170,0,2024-04-15 12:00:00,1.2246467991473532e-16,-1.0,False,False,Mo.,0.0,1.0
0,0,0,0,0,0,0,0,1,16,0.9350162426854148,-0.3546048870425357,231.115,False,0,0,72,1,2024-04-15 12:00:00,1.2246467991473532e-16,-1.0,False,False,Mo.,0.0,1.0
0,1,0,0,0,0,0,0,0,16,0.9350162426854148,-0.3546048870425357,190.035,False,0,0,64,1,2024-04-15 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Mo.,0.0,1.0
0,1,0,0,0,0,0,0,0,16,0.9350162426854148,-0.3546048870425357,238.213,False,0,0,160,0,2024-04-15 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Mo.,0.0,1.0
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,140.004,False,0,0,119,1,2024-04-15 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Mo.,0.0,1.0
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,360.001,False,0,0,242,0,2024-04-15 17:15:00,-0.9807852804032303,-0.19509032201612866,False,True,Mo.,0.0,1.0
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,361.001,False,0,0,264,0,2024-04-16 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,0,1,0,16,0.9350162426854148,-0.3546048870425357,366.560,False,0,0,148,1,2024-04-16 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,360.001,False,0,0,242,1,2024-04-16 10:15:00,0.4422886902190013,-0.8968727415326883,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,0,1,0,16,0.9350162426854148,-0.3546048870425357,340.100,False,0,0,194,0,2024-04-16 10:15:00,0.4422886902190013,-0.8968727415326883,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,382.037,False,0,0,139,1,2024-04-16 12:00:00,1.2246467991473532e-16,-1.0,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,0,1,0,16,0.9350162426854148,-0.3546048870425357,364.000,False,0,0,185,0,2024-04-16 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,0,1,0,16,0.9350162426854148,-0.3546048870425357,340.400,False,0,0,140,0,2024-04-16 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,0,0,1,16,0.9350162426854148,-0.3546048870425357,229.054,False,0,0,138,1,2024-04-16 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,371.000,False,0,0,148,0,2024-04-17 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,0,1,0,16,0.9350162426854148,-0.3546048870425357,531.170,False,0,0,97,0,2024-04-17 10:15:00,0.4422886902190013,-0.8968727415326883,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,0,1,0,16,0.9350162426854148,-0.3546048870425357,325.004,False,0,0,20,0,2024-04-17 10:15:00,0.4422886902190013,-0.8968727415326883,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,258.300,False,0,0,132,0,2024-04-17 12:00:00,1.2246467991473532e-16,-1.0,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,257.200,False,0,0,152,0,2024-04-17 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,1,0,0,0,0,16,0.9350162426854148,-0.3546048870425357,365.232,False,0,0,46,1,2024-04-17 14:30:00,-0.6087614290087203,-0.7933533402912354,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,1,0,0,0,0,16,0.9350162426854148,-0.3546048870425357,257.213,False,0,0,16,0,2024-04-17 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,371.000,False,0,0,148,0,2024-04-18 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,0,1,0,0,16,0.9350162426854148,-0.3546048870425357,358.001,False,0,0,236,1,2024-04-18 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,16,0.9350162426854148,-0.3546048870425357,531.242,False,0,0,28,1,2024-04-18 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,16,0.9350162426854148,-0.3546048870425357,531.240,False,0,0,60,1,2024-04-18 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,16,0.9350162426854148,-0.3546048870425357,531.241,False,0,0,20,1,2024-04-18 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,16,0.9350162426854148,-0.3546048870425357,531.240,False,0,0,60,1,2024-04-18 14:30:00,-0.6087614290087203,-0.7933533402912354,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,0,0,1,0,16,0.9350162426854148,-0.3546048870425357,339.170,False,0,0,216,1,2024-04-18 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,1,0,0,0,0,0,0,16,0.9350162426854148,-0.3546048870425357,190.300,False,0,0,118,1,2024-04-18 17:15:00,-0.9807852804032303,-0.19509032201612866,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,0,0,1,0,16,0.9350162426854148,-0.3546048870425357,339.191,False,0,0,307,0,2024-04-18 19:00:00,-0.9659258262890684,0.2588190451025203,True,False,Do.,0.43388373911755823,-0.900968867902419
