datetime,CC,CC_estimates
2024-04-08 00:00:00,0,0
2024-04-08 00:30:00,0,0
2024-04-08 01:00:00,0,0
2024-04-08 01:30:00,0,0
2024-04-08 02:00:00,0,0
2024-04-08 02:30:00,0,0
2024-04-08 03:00:00,0,0
2024-04-08 03:30:00,0,0
2024-04-08 04:00:00,0,0
2024-04-08 04:30:00,0,0
2024-04-08 05:00:00,0,0
2024-04-08 05:30:00,0,0
2024-04-08 06:00:00,0,0
2024-04-08 06:30:00,0,0
2024-04-08 07:00:00,0,0
2024-04-08 07:30:00,0,0
2024-04-08 08:00:00,0,0
2024-04-08 08:30:00,0,0
2024-04-08 09:00:00,0,0
2024-04-08 09:30:00,4,4
2024-04-08 10:00:00,30,31
2024-04-08 10:30:00,43,44
2024-04-08 11:00:00,42,43
2024-04-08 11:30:00,13,15
2024-04-08 12:00:00,29,31
2024-04-08 12:30:00,28,30
2024-04-08 13:00:00,25,27
2024-04-08 13:30:00,11,13
2024-04-08 14:00:00,11,13
2024-04-08 14:30:00,11,13
2024-04-08 15:00:00,8,10
2024-04-08 15:30:00,12,14
2024-04-08 16:00:00,12,14
2024-04-08 16:30:00,12,14
2024-04-08 17:00:00,8,10
2024-04-08 17:30:00,-2,0
2024-04-08 18:00:00,-2,0
2024-04-08 18:30:00,-2,0
2024-04-08 19:00:00,-2,0
2024-04-08 19:30:00,-2,0
2024-04-08 20:00:00,-2,0
2024-04-08 20:30:00,-2,0
2024-04-08 21:00:00,-2,0
2024-04-08 21:30:00,-2,0
2024-04-08 22:00:00,-2,0
2024-04-08 22:30:00,-2,0
2024-04-08 23:00:00,-2,0
2024-04-08 23:30:00,-2,0
2024-04-09 00:00:00,-2,0
2024-04-09 00:30:00,0,0
2024-04-09 01:00:00,0,0
2024-04-09 01:30:00,0,0
2024-04-09 02:00:00,0,0
2024-04-09 02:30:00,0,0
2024-04-09 03:00:00,0,0
2024-04-09 03:30:00,0,0
2024-04-09 04:00:00,0,0
2024-04-09 04:30:00,0,0
2024-04-09 05:00:00,0,0
2024-04-09 05:30:00,0,0
2024-04-09 06:00:00,0,0
2024-04-09 06:30:00,0,0
2024-04-09 07:00:00,0,0
2024-04-09 07:30:00,0,0
2024-04-09 08:00:00,4,4
2024-04-09 08:30:00,23,23
2024-04-09 09:00:00,24,24
2024-04-09 09:30:00,22,22
2024-04-09 10:00:00,20,20
2024-04-09 10:30:00,27,27
2024-04-09 11:00:00,28,28
2024-04-09 11:30:00,20,20
2024-04-09 12:00:00,25,25
2024-04-09 12:30:00,26,26
2024-04-09 13:00:00,24,24
2024-04-09 13:30:00,20,20
2024-04-09 14:00:00,26,26
2024-04-09 14:30:00,26,26
2024-04-09 15:00:00,24,24
2024-04-09 15:30:00,38,38
2024-04-09 16:00:00,38,38
2024-04-09 16:30:00,36,36
2024-04-09 17:00:00,23,23
2024-04-09 17:30:00,0,0
2024-04-09 18:00:00,0,0
2024-04-09 18:30:00,0,0
2024-04-09 19:00:00,0,0
2024-04-09 19:30:00,0,0
2024-04-09 20:00:00,0,0
2024-04-09 20:30:00,0,0
2024-04-09 21:00:00,0,0
2024-04-09 21:30:00,0,0
2024-04-09 22:00:00,0,0
2024-04-09 22:30:00,0,0
2024-04-09 23:00:00,0,0
2024-04-09 23:30:00,0,0
2024-04-10 00:00:00,0,0
2024-04-10 00:30:00,0,0
2024-04-10 01:00:00,0,0
2024-04-10 01:30:00,0,0
2024-04-10 02:00:00,0,0
2024-04-10 02:30:00,0,0
2024-04-10 03:00:00,0,0
2024-04-10 03:30:00,0,0
2024-04-10 04:00:00,0,0
2024-04-10 04:30:00,0,0
2024-04-10 05:00:00,0,0
2024-04-10 05:30:00,0,0
2024-04-10 06:00:00,0,0
2024-04-10 06:30:00,0,0
2024-04-10 07:00:00,0,0
2024-04-10 07:30:00,0,0
2024-04-10 08:00:00,0,0
2024-04-10 08:30:00,0,0
2024-04-10 09:00:00,0,0
2024-04-10 09:30:00,0,0
2024-04-10 10:00:00,17,17
2024-04-10 10:30:00,30,30
2024-04-10 11:00:00,32,32
2024-04-10 11:30:00,22,22
2024-04-10 12:00:00,29,29
2024-04-10 12:30:00,34,34
2024-04-10 13:00:00,34,34
2024-04-10 13:30:00,6,7
2024-04-10 14:00:00,9,10
2024-04-10 14:30:00,32,33
2024-04-10 15:00:00,19,20
2024-04-10 15:30:00,-1,0
2024-04-10 16:00:00,-1,0
2024-04-10 16:30:00,-1,0
2024-04-10 17:00:00,-1,0
2024-04-10 17:30:00,-1,0
2024-04-10 18:00:00,-1,0
2024-04-10 18:30:00,-1,0
2024-04-10 19:00:00,-1,0
2024-04-10 19:30:00,0,1
2024-04-10 20:00:00,0,0
2024-04-10 20:30:00,0,0
2024-04-10 21:00:00,0,0
2024-04-10 21:30:00,0,0
2024-04-10 22:00:00,0,0
2024-04-10 22:30:00,0,0
2024-04-10 23:00:00,0,0
2024-04-10 23:30:00,0,0
2024-04-11 00:00:00,0,0
2024-04-11 00:30:00,0,0
2024-04-11 01:00:00,0,0
2024-04-11 01:30:00,0,0
2024-04-11 02:00:00,0,0
2024-04-11 02:30:00,0,0
2024-04-11 03:00:00,0,0
2024-04-11 03:30:00,0,0
2024-04-11 04:00:00,0,0
2024-04-11 04:30:00,0,0
2024-04-11 05:00:00,0,0
2024-04-11 05:30:00,0,0
2024-04-11 06:00:00,0,0
2024-04-11 06:30:00,0,0
2024-04-11 07:00:00,0,0
2024-04-11 07:30:00,0,0
2024-04-11 08:00:00,2,2
2024-04-11 08:30:00,11,12
2024-04-11 09:00:00,10,11
2024-04-11 09:30:00,9,10
2024-04-11 10:00:00,5,6
2024-04-11 10:30:00,11,12
2024-04-11 11:00:00,11,12
2024-04-11 11:30:00,5,6
2024-04-11 12:00:00,6,7
2024-04-11 12:30:00,6,7
2024-04-11 13:00:00,4,5
2024-04-11 13:30:00,25,27
2024-04-11 14:00:00,37,40
2024-04-11 14:30:00,22,26
2024-04-11 15:00:00,19,23
2024-04-11 15:30:00,34,39
2024-04-11 16:00:00,34,39
2024-04-11 16:30:00,33,38
2024-04-11 17:00:00,16,22
2024-04-11 17:30:00,28,35
2024-04-11 18:00:00,29,36
2024-04-11 18:30:00,27,34
2024-04-11 19:00:00,8,16
2024-04-11 19:30:00,-5,4
2024-04-11 20:00:00,-8,1
2024-04-11 20:30:00,-9,0
2024-04-11 21:00:00,-9,0
2024-04-11 21:30:00,-9,0
2024-04-11 22:00:00,-9,0
2024-04-11 22:30:00,-9,0
2024-04-11 23:00:00,-9,0
2024-04-11 23:30:00,-9,0
2024-04-12 00:00:00,-9,0
2024-04-12 00:30:00,0,0
2024-04-12 01:00:00,0,0
2024-04-12 01:30:00,0,0
2024-04-12 02:00:00,0,0
2024-04-12 02:30:00,0,0
2024-04-12 03:00:00,0,0
2024-04-12 03:30:00,0,0
2024-04-12 04:00:00,0,0
2024-04-12 04:30:00,0,0
2024-04-12 05:00:00,0,0
2024-04-12 05:30:00,0,0
2024-04-12 06:00:00,0,0
2024-04-12 06:30:00,0,0
2024-04-12 07:00:00,0,0
2024-04-12 07:30:00,0,0
