time,station,bewd_i,bewd_i_flag,bewd_ii,bewd_ii_flag,bewd_iii,bewd_iii_flag,bewm_i,bewm_i_flag,bewm_ii,bewm_ii_flag,bewm_iii,bewm_iii_flag,bewm_mittel,bewm_mittel_flag,bft6,bft6_flag,bft8,bft8_flag,cglo_j,cglo_j_flag,dampf_i,dampf_i_flag,dampf_ii,dampf_ii_flag,dampf_iii,dampf_iii_flag,dampf_mittel,dampf_mittel_flag,dd32_i,dd32_i_flag,dd32_ii,dd32_ii_flag,dd32_iii,dd32_iii_flag,erdb_i,erdb_i_flag,erdb_ii,erdb_ii_flag,erdb_iii,erdb_iii_flag,ffx,ffx_flag,gew,gew_flag,glatt,glatt_flag,nebel,nebel_flag,p_i,p_i_flag,p_ii,p_ii_flag,p_iii,p_iii_flag,p_mittel,p_mittel_flag,raureif,raureif_flag,reif,reif_flag,rfb_i,rfb_i_flag,rfb_ii,rfb_ii_flag,rfb_iii,rfb_iii_flag,rfb_mittel,rfb_mittel_flag,rf_i,rf_i_flag,rf_ii,rf_ii_flag,rf_iii,rf_iii_flag,rf_mittel,rf_mittel_flag,rr,rra_manu,rra_manu_flag,rra_manu_i,rra_manu_i_flag,rra_manu_iii,rra_manu_iii_flag,rr_flag,rr_i,rr_i_flag,rr_iii,rr_iii_flag,sh,sha_manu,sha_manu_flag,sh_flag,sh_manu,sh_manu_flag,shneu_manu,shneu_manu_flag,sicht_i,sicht_i_flag,sicht_ii,sicht_ii_flag,sicht_iii,sicht_iii_flag,so_h,so_h_flag,tau,tau_flag,tl_i,tl_i_flag,tl_ii,tl_ii_flag,tl_iii,tl_iii_flag,tlmax,tlmax_flag,tlmin,tlmin_flag,tl_mittel,tl_mittel_flag,tsmin,tsmin_flag,vvbft_i,vvbft_i_flag,vvbft_ii,vvbft_ii_flag,vvbft_iii,vvbft_iii_flag,vv_mittel,vv_mittel_flag,zeitx,zeitx_flag,substation
2024-04-08T00:00+00:00,56,0,20,,20,,20,5,20,0,20,0,20,17,20,0,20,0,20,1550,20,12.5,20,8.1,20,16.3,20,12.3,20,20,20,4,20,32,20,0,20,0,20,0,20,3.5,20,0,20,,20,,20,983.3,20,981.3,20,979.7,20,981.4,20,,20,,20,,20,,20,,20,,20,81,20,22,20,66,20,56,20,-1,0,20,0,20,0,20,20,-1,20,-1,20,,0,20,20,-1,20,-1,20,40000,20,33000,20,30000,20,6.5,20,,20,13.5,20,27.6,20,20.9,20,28.9,20,12.1,20,20.5,20,8.7,20,1,20,1,20,1,20,1,20,1231,20,3202
2024-04-09T00:00+00:00,56,1,20,0,20,2,20,10,20,10,20,10,20,100,20,0,20,0,20,1737,20,12.4,20,12.9,20,11.6,20,12.3,20,24,20,16,20,20,20,0,20,0,20,0,20,13.2,20,0,20,,20,,20,978.6,20,978.2,20,984.1,20,980.3,20,,20,,20,,20,,20,,20,,20,78,20,40,20,64,20,61,20,0,1,20,0,20,0,20,20,-1,20,-1,20,,0,20,20,-1,20,-1,20,10000,20,15000,20,20000,20,9,20,,20,13.9,20,25.3,20,16,20,27.1,20,12.1,20,19.6,20,9,20,1,20,1,20,2,20,1.5,20,2110,20,3202
2024-04-10T00:00+00:00,56,2,20,0,20,0,20,8,20,8,20,3,20,63,20,0,20,0,20,598,20,9,20,8.3,20,9.1,20,8.8,20,20,20,20,20,20,20,0,20,0,20,0,20,7.5,20,0,20,,20,,20,995.5,20,998,20,999.7,20,997.7,20,,20,,20,,20,,20,,20,,20,84,20,59,20,70,20,71,20,0,1,20,1,20,1,20,20,0,20,0,20,,0,20,20,-1,20,-1,20,30000,20,40000,20,40000,20,0,20,,20,7.9,20,12,20,10.8,20,16,20,7.8,20,11.9,20,7.9,20,1,20,1,20,1,20,1,20,28,20,3202
2024-04-11T00:00+00:00,56,,20,,20,,20,0,20,0,20,0,20,0,20,0,20,0,20,2026,20,9.2,20,9.2,20,10.5,20,9.6,20,16,20,20,20,20,20,0,20,0,20,0,20,5,20,0,20,,20,,20,1002,20,1000.8,20,1000.9,20,1001.2,20,,20,,20,,20,,20,,20,,20,82,20,45,20,58,20,62,20,-1,0,20,0,20,0,20,20,-1,20,-1,20,,0,20,20,-1,20,-1,20,20000,20,30000,20,40000,20,11.7,20,,20,8.6,20,17.9,20,15.9,20,19.6,20,5.7,20,12.7,20,3.8,20,1,20,1,20,1,20,1,20,1144,20,3202
2024-04-12T00:00+00:00,56,,20,0,20,0,20,0,20,2,20,1,20,10,20,0,20,0,20,2088,20,10.8,20,11.4,20,12.2,20,11.5,20,20,20,28,20,20,20,0,20,0,20,0,20,5.7,20,0,20,,20,,20,1002.7,20,999.9,20,997.8,20,1000.1,20,,20,,20,,20,,20,,20,,20,84,20,47,20,63,20,65,20,-1,0,20,0,20,0,20,20,-1,20,-1,20,,0,20,20,-1,20,-1,20,2000,20,20000,20,30000,20,11.5,20,,20,10.7,20,20.6,20,17,20,22,20,7.3,20,14.7,20,5,20,1,20,1,20,1,20,1,20,1351,20,3202
2024-04-13T00:00+00:00,56,,20,0,20,0,20,0,20,3,20,2,20,17,20,0,20,0,20,2083,20,11.4,20,10.9,20,13,20,11.8,20,0,20,20,20,24,20,0,20,0,20,0,20,7.5,20,0,20,,20,,20,999.5,20,995.8,20,993.4,20,996.2,20,,20,,20,,20,,20,,20,,20,80,20,38,20,62,20,60,20,-1,0,20,0,20,0,20,20,-1,20,-1,20,,0,20,20,-1,20,-1,20,20000,20,40000,20,40000,20,11.5,20,,20,12.3,20,23.3,20,18.2,20,24.7,20,8.7,20,16.7,20,6.5,20,0,20,1,20,1,20,0.6,20,1326,20,3202
2024-04-14T00:00+00:00,56,0,20,0,20,1,20,3,20,4,20,8,20,50,20,0,20,0,20,1769,20,12.9,20,12.4,20,12.8,20,12.7,20,0,20,28,20,24,20,0,20,0,20,0,20,7.9,20,0,20,,20,,20,991.3,20,988.8,20,986.5,20,988.9,20,,20,,20,,20,,20,,20,,20,82,20,39,20,53,20,58,20,-1,0,20,0,20,0,20,20,-1,20,-1,20,,0,20,20,-1,20,-1,20,30000,20,40000,20,40000,20,8.7,20,,20,13.8,20,25,20,20.5,20,26,20,10.4,20,18.2,20,7.8,20,0,20,1,20,1,20,0.6,20,1238,20,3202
2024-04-15T00:00+00:00,56,2,20,2,20,2,20,10,20,10,20,10,20,100,20,0,20,0,20,470,20,13,20,15.1,20,15,20,14.4,20,0,20,20,20,20,20,0,20,2,20,2,20,6.4,20,0,20,,20,,20,980.5,20,980.4,20,973.8,20,978.2,20,,20,,20,,20,,20,,20,,20,77,20,96,20,99,20,91,20,10.3,1,20,0,20,1,20,20,-1,20,9.8,20,,0,20,20,-1,20,-1,20,40000,20,20000,20,30000,20,0.7,20,,20,14.8,20,13.8,20,13.2,20,20.5,20,12,20,16.3,20,9.5,20,0,20,1,20,1,20,0.6,20,746,20,3202
2024-04-16T00:00+00:00,56,1,20,2,20,2,20,10,20,10,20,10,20,100,20,0,20,0,20,619,20,6.9,20,6.1,20,7.5,20,6.8,20,20,20,24,20,24,20,1,20,1,20,1,20,10.7,20,0,20,,20,,20,978.5,20,976.2,20,974.5,20,976.4,20,,20,,20,,20,,20,,20,,20,71,20,50,20,64,20,62,20,5.4,1,20,1,20,1,20,20,0.5,20,0,20,,0,20,20,-1,20,-1,20,30000,20,20000,20,10000,20,0.2,20,,20,6.5,20,9.9,20,9.3,20,13.2,20,5.9,20,9.6,20,5.5,20,2,20,1,20,1,20,1.5,20,2340,20,3202
2024-04-17T00:00+00:00,56,1,20,2,20,2,20,10,20,10,20,10,20,100,20,0,20,0,20,1157,20,8,20,8.9,20,8.6,20,8.5,20,24,20,20,20,20,20,1,20,2,20,2,20,9.6,20,0,20,,20,,20,976,20,976.4,20,977.6,20,976.7,20,,20,,20,,20,,20,,20,,20,82,20,87,20,91,20,87,20,5.5,1,20,1,20,1,20,20,5.4,20,1.3,20,,0,20,20,-1,20,-1,20,40000,20,40000,20,20000,20,3.4,20,,20,6.6,20,7.3,20,6.2,20,10.6,20,4.6,20,7.6,20,3.5,20,1,20,2,20,1,20,1.5,20,1307,20,3202
