time,station,cglo,cglo_flag,chim,chim_flag,dd,dd_flag,ddx,ddx_flag,ff,ffam,ffam_flag,ff_flag,ffx,ffx_flag,p,p_flag,pred,pred_flag,rf,rf_flag,rr,rr_flag,rrm,rrm_flag,sh,sh_flag,so,so_flag,tb10,tb10_flag,tb20,tb20_flag,tb50,tb50_flag,tl,tl_flag,tlmax,tlmax_flag,tlmin,tlmin_flag,ts,ts_flag,tsmax,tsmax_flag,tsmin,tsmin_flag,zeitx,zeitx_flag,substation
2024-04-08T00:00+00:00,56,0,12,,,316.0,12,339.0,12,0.8,0.9,12,12,1.7,12,984.7,12,,,78,12,0.0,12,0,12,,,0,12,13.4,12,12.2,12,12.8,12,14.2,12,14.3,12,14.2,12,10.4,12,10.5,12,10.4,12,57.0,12,3202
2024-04-08T00:10+00:00,56,0,12,,,255.0,12,304.0,12,0.3,0.6,12,12,1.3,12,984.6,12,,,78,12,0.0,12,0,12,,,0,12,13.4,12,12.2,12,12.8,12,14.2,12,14.3,12,14.2,12,10.4,12,10.4,12,10.4,12,0.0,12,3202
2024-04-08T00:20+00:00,56,0,12,,,248.0,12,251.0,12,0.4,0.5,12,12,1.1,12,984.5,12,,,78,12,0.0,12,0,12,,,0,12,13.4,12,12.2,12,12.8,12,14.1,12,14.3,12,14.1,12,10.3,12,10.4,12,10.3,12,12.0,12,3202
2024-04-08T00:30+00:00,56,0,12,,,197.0,12,208.0,12,0.6,0.7,12,12,1.2,12,984.4,12,,,78,12,0.0,12,0,12,,,0,12,13.3,12,12.2,12,12.8,12,14.1,12,14.2,12,14.1,12,10.3,12,10.3,12,10.3,12,21.0,12,3202
2024-04-08T00:40+00:00,56,0,12,,,214.0,12,228.0,12,0.7,0.8,12,12,1.1,12,984.4,12,,,78,12,0.0,12,0,12,,,0,12,13.3,12,12.2,12,12.8,12,14.0,12,14.1,12,14.0,12,10.3,12,10.3,12,10.3,12,36.0,12,3202
2024-04-08T00:50+00:00,56,0,12,,,264.0,12,287.0,12,0.5,0.6,12,12,1.2,12,984.2,12,,,78,12,0.0,12,0,12,,,0,12,13.3,12,12.1,12,12.8,12,14.0,12,14.0,12,13.9,12,10.2,12,10.3,12,10.2,12,47.0,12,3202
2024-04-08T01:00+00:00,56,0,12,,,266.0,12,213.0,12,0.4,0.6,12,12,1.2,12,984.1,12,,,78,12,0.0,12,0,12,,,0,12,13.2,12,12.1,12,12.8,12,13.8,12,14.0,12,13.8,12,10.2,12,10.2,12,10.2,12,53.0,12,3202
2024-04-08T01:10+00:00,56,0,12,,,273.0,12,248.0,12,0.7,0.7,12,12,1.0,12,984.1,12,,,78,12,0.0,12,0,12,,,0,12,13.2,12,12.1,12,12.8,12,13.7,12,13.9,12,13.7,12,10.2,12,10.2,12,10.2,12,0.0,12,3202
2024-04-08T01:20+00:00,56,0,12,,,253.0,12,161.0,12,0.3,0.4,12,12,0.8,12,984.0,12,,,78,12,0.0,12,0,12,,,0,12,13.2,12,12.1,12,12.8,12,13.7,12,13.8,12,13.7,12,10.2,12,10.3,12,10.2,12,10.0,12,3202
2024-04-08T01:30+00:00,56,0,12,,,238.0,12,275.0,12,0.3,0.5,12,12,0.9,12,983.7,12,,,78,12,0.0,12,0,12,,,0,12,13.2,12,12.1,12,12.8,12,13.7,12,13.7,12,13.6,12,10.3,12,10.3,12,10.2,12,22.0,12,3202
