time,station,cglo,cglo_flag,dd,dd_flag,ddx,ddx_flag,ff,ff_flag,ffx,ffx_flag,p,p_flag,pred,pred_flag,rf,rf_flag,rr,rr_flag,rrm,rrm_flag,sh,sh_flag,so_h,so_h_flag,tb10,tb100,tb100_flag,tb10_flag,tb20,tb200,tb200_flag,tb20_flag,tb50,tb50_flag,tl,tl_flag,tsmin,tsmin_flag,zeitx,zeitx_flag,substation
2024-04-08T00:00+00:00,56,0.0,10.0,293.0,10.0,339.0,10.0,0.4,10.0,1.7,10.0,984.7,10.0,,,78.0,10.0,0.0,10.0,0.0,10.0,,,0.0,10.0,13.4,,,10.0,12.2,,,10,12.8,10.0,14.2,10.0,10.4,10.0,57.0,10.0,3202
2024-04-08T01:00+00:00,56,0.0,10.0,235.0,10.0,304.0,10.0,0.4,10.0,1.3,10.0,984.1,10.0,,,78.0,10.0,0.0,10.0,0.0,10.0,,,0.0,10.0,13.2,,,10.0,12.1,,,10,12.8,10.0,13.8,10.0,10.2,10.0,100.0,10.0,3202
2024-04-08T02:00+00:00,56,0.0,10.0,249.0,10.0,214.0,10.0,0.4,10.0,1.1,10.0,983.7,10.0,,,79.0,10.0,0.0,10.0,0.0,10.0,,,0.0,10.0,13.1,,,10.0,12.1,,,10,12.8,10.0,13.4,10.0,10.1,10.0,244.0,10.0,3202
2024-04-08T03:00+00:00,56,0.0,10.0,215.0,10.0,202.0,10.0,0.5,10.0,1.6,10.0,983.2,10.0,,,78.0,10.0,0.0,10.0,1.0,10.0,,,0.0,10.0,12.9,,,10.0,12.0,,,10,12.9,10.0,13.1,10.0,9.6,10.0,353.0,10.0,3202
2024-04-08T04:00+00:00,56,0.0,10.0,259.0,10.0,246.0,10.0,0.3,10.0,1.0,10.0,982.9,10.0,,,81.0,10.0,0.0,10.0,0.0,10.0,,,0.0,10.0,12.7,,,10.0,11.9,,,10,12.9,10.0,12.6,10.0,9.1,10.0,428.0,10.0,3202
2024-04-08T05:00+00:00,56,7.0,10.0,286.0,10.0,302.0,10.0,0.3,10.0,1.3,10.0,983.0,10.0,,,82.0,10.0,0.0,10.0,0.0,10.0,,,0.0,10.0,12.6,,,10.0,11.8,,,10,12.9,10.0,12.3,10.0,8.7,10.0,513.0,10.0,3202
2024-04-08T06:00+00:00,56,63.0,10.0,219.0,10.0,233.0,10.0,0.4,10.0,1.0,10.0,983.3,10.0,,,81.0,10.0,0.0,10.0,0.0,10.0,,,0.0,10.0,12.5,,,10.0,11.8,,,10,12.9,10.0,13.5,10.0,9.1,10.0,613.0,10.0,3202
2024-04-08T07:00+00:00,56,190.0,10.0,179.0,10.0,158.0,10.0,0.4,10.0,1.2,10.0,983.3,10.0,,,67.0,10.0,0.0,10.0,0.0,10.0,,,0.6,10.0,12.4,,,10.0,11.7,,,10,12.9,10.0,17.4,10.0,11.9,10.0,752.0,10.0,3202
2024-04-08T08:00+00:00,56,369.0,10.0,126.0,10.0,142.0,10.0,0.6,10.0,2.5,10.0,983.4,10.0,,,57.0,10.0,0.0,10.0,0.0,10.0,,,1.0,10.0,12.6,,,10.0,11.6,,,10,12.9,10.0,19.7,10.0,20.1,10.0,850.0,10.0,3202
2024-04-08T09:00+00:00,56,527.0,10.0,89.0,10.0,72.0,10.0,0.3,10.0,2.0,10.0,983.2,10.0,,,48.0,10.0,0.0,10.0,0.0,10.0,,,1.0,10.0,12.9,,,10.0,11.6,,,10,12.9,10.0,22.7,10.0,27.7,10.0,926.0,10.0,3202
