Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit
cglo,Globalstrahlung Mittelwert,"Globalstrahlung, kalibrierter Stunden-Mittelwert",W/m²
cglo_flag,Qualitätsflag für Globalstrahlung Mittelwert,"Qualitätsflag für Globalstrahlung, kalibrierter Stunden-Mittelwert",code
dd,Windrichtung 360° Mittelwert,"Windrichtung [360°], vektorieller Stunden-Mittelwert",°
dd_flag,Qualitätsflag für Windrichtung 360° Mittelwert,"Qualitätsflag für Windrichtung [360°], vektorieller Stunden-Mittelwert",code
ddx,Windrichtung zur Spitzenböe,"Windrichtung der maximalen Windgeschwindigkeit (Spitzenböe), Stundenwert",°
ddx_flag,Qualitätsflag für Windrichtung zur Spitzenböe,"Qualitätsflag für Windrichtung der maximalen Windgeschwindigkeit (Spitzenböe), Stundenwert",code
ff,Windgeschwindigkeit,"Windgeschwindigkeit, vektorieller Stundenmittelwert",m/s
ff_flag,Qualitätsflag für Windgeschwindigkeit,"Qualitätsflag für Windgeschwindigkeit, vektorieller Stundenmittelwert",code
ffx,Maximale Windgeschwindigkeit (Spitzenböe),"Maximale Windgeschwindigkeit (Spitzenböe), Stunden-Maximalwert",m/s
ffx_flag,Qualitätsflag für Maximale Windgeschwindigkeit (Spitzenböe),"Qualitätsflag für Maximale Windgeschwindigkeit (Spitzenböe), Stunden-Maximalwert",code
p,Luftdruck,"Luftdruck in Stationsniveau, Stunden-Messwert",hPa
p_flag,Qualitätsflag für Luftdruck,"Qualitätsflag für Luftdruck in Stationsniveau, Stunden-Messwert",code
pred,Reduzierter Luftdruck,"Luftdruck auf Meeresniveau reduziert, berechneter Wert",hPa
pred_flag,Qualitätsflag für Reduzierter Luftdruck,"Qualitätsflag für Luftdruck auf Meeresniveau reduziert, berechneter Wert",code
rf,Relative Feuchte,"Relative Feuchte, Stunden-Messwert",%
rf_flag,Qualitätsflag für Relative Feuchte,"Qualitätsflag für Relative Feuchte, Stunden-Messwert",code
rr,Niederschlag,"Niederschlag, Stundensumme",mm
rr_flag,Qualitätsflag für Niederschlag,"Qualitätsflag für Niederschlag, Stundensumme",code
rrm,Niederschlagsdauer,"Niederschlagsdauer, Stundensumme - Codeliste={0: kein Niederschlag gemessen, 1: Niederschlag gemessen}",min
rrm_flag,Qualitätsflag für Niederschlagsdauer,"Qualitätsflag für Niederschlagsdauer, Stundensumme",code
sh,"Gesamtschneehöhe, Schneepegelmessung","Gesamtschneehöhe aus Schneepegelmessung, Offset korrigiert",cm
sh_flag,"Qualitätsflag für Gesamtschneehöhe, Schneepegelmessung","Qualitätsflag für Gesamtschneehöhe aus Schneepegelmessung, Offset korrigiert",code
so_h,Sonnenscheindauer,"Sonnenscheindauer, Stundensumme",h
so_h_flag,Qualitätsflag für Sonnenscheindauer,"Qualitätsflag für Sonnenscheindauer, Stundensumme",code
tb10,Erdbodentemperatur -10cm,"Erdbodentemperatur in 10 cm Tiefe, Stunden-Messwert",°C
tb100,Erdbodentemperatur -100cm,"Erdbodentemperatur in 100 cm Tiefe, Stunden-Messwert",°C
tb100_flag,Qualitätsflag für Erdbodentemperatur -100cm,"Qualitätsflag für Erdbodentemperatur in 100 cm Tiefe, Stunden-Messwert",code
tb10_flag,Qualitätsflag für Erdbodentemperatur -10cm,"Qualitätsflag für Erdbodentemperatur in 10 cm Tiefe, Stunden-Messwert",code
tb20,Erdbodentemperatur -20cm,"Erdbodentemperatur in 20 cm Tiefe, Stunden-Messwert",°C
tb200,Erdbodentemperatur -200cm,"Erdbodentemperatur in 200 cm Tiefe, Stunden-Messwert",°C
tb200_flag,Qualitätsflag für Erdbodentemperatur -200cm,"Qualitätsflag für Erdbodentemperatur in 200 cm Tiefe, Stunden-Messwert",code
tb20_flag,Qualitätsflag für Erdbodentemperatur -20cm,"Qualitätsflag für Erdbodentemperatur in 20 cm Tiefe, Stunden-Messwert",code
tb50,Erdbodentemperatur -50cm,"Erdbodentemperatur in 50 cm Tiefe, Stunden-Messwert",°C
tb50_flag,Qualitätsflag für Erdbodentemperatur -50cm,"Qualitätsflag für Erdbodentemperatur in 50 cm Tiefe, Stunden-Messwert",code
tl,Lufttemperatur 2m,"Lufttemperatur in 2m Höhe, Stunden-Messwert",°C
tl_flag,Qualitätsflag für Lufttemperatur 2m,"Qualitätsflag für Lufttemperatur in 2m Höhe, Stunden-Messwert",code
tsmin,Lufttemperatur 5cm Minimalwert,"Lufttemperatur in 5 cm Höhe, Stunden-Messwert",°C
tsmin_flag,Qualitätsflag für Lufttemperatur 5cm Minimalwert,"Qualitätsflag für Lufttemperatur in 5 cm Höhe, Stunden-Messwert",code
zeitx,Zeitpunkt der maximalen Windgeschwindigkeit (Spitzenböe),"Zeitpunkt der maximalen Windgeschwindigkeit (Spitzenböe), Stundenwert",hhmm
zeitx_flag,Qualitätsflag für Zeitpunkt der maximalen Windgeschwindigkeit (Spitzenböe),"Qualitätsflag für Zeitpunkt der maximalen Windgeschwindigkeit (Spitzenböe), Stundenwert",code
