features,run_id,test_loss,val_loss
occrate,0,0.02075,0.014838
occrate,1,0.021498,0.014637
occrate,2,0.021278,0.015374
occrate,3,0.021168,0.015118
occrate,4,0.021944,0.014877
occrate_avgocc,0,0.018359,0.010644
occrate_avgocc,1,0.01798,0.010549
occrate_avgocc,2,0.018525,0.010517
occrate_avgocc,3,0.018096,0.010642
occrate_avgocc,4,0.01836,0.010531
occrate_avgocc_coursenumber,0,0.015517,0.007885
occrate_avgocc_coursenumber,1,0.016047,0.007699
occrate_avgocc_coursenumber,2,0.01607,0.008056
occrate_avgocc_coursenumber,3,0.015844,0.007736
occrate_avgocc_coursenumber,4,0.015759,0.007892
occrate_avgocc_coursenumber_dow,0,0.016709,0.008042
occrate_avgocc_coursenumber_dow,1,0.016328,0.007748
occrate_avgocc_coursenumber_dow,2,0.016772,0.007767
occrate_avgocc_coursenumber_dow,3,0.01603,0.007916
occrate_avgocc_coursenumber_dow,4,0.016383,0.007882
occrate_avgocc_coursenumber_dow_hod,0,0.016401,0.008116
occrate_avgocc_coursenumber_dow_hod,1,0.016307,0.008239
occrate_avgocc_coursenumber_dow_hod,2,0.016608,0.008117
occrate_avgocc_coursenumber_dow_hod,3,0.015889,0.008041
occrate_avgocc_coursenumber_dow_hod,4,0.016663,0.008082
occrate_avgocc_coursenumber_dow_hod_lecture,0,0.016644,0.008191
occrate_avgocc_coursenumber_dow_hod_lecture,1,0.015866,0.008058
occrate_avgocc_coursenumber_dow_hod_lecture,2,0.016293,0.008093
occrate_avgocc_coursenumber_dow_hod_lecture,3,0.016117,0.008792
occrate_avgocc_coursenumber_dow_hod_lecture,4,0.016507,0.008007
occrate_avgocc_coursenumber_dow_hod_lecture_studyarea,0,0.016854,0.008382
occrate_avgocc_coursenumber_dow_hod_lecture_studyarea,1,0.016023,0.008741
occrate_avgocc_coursenumber_dow_hod_lecture_studyarea,2,0.016179,0.008596
occrate_avgocc_coursenumber_dow_hod_lecture_studyarea,3,0.015721,0.008717
occrate_avgocc_coursenumber_dow_hod_lecture_studyarea,4,0.01672,0.008704
occrate_avgocc_coursenumber_dow_hod_registered,0,0.016682,0.008137
occrate_avgocc_coursenumber_dow_hod_registered,1,0.016819,0.008095
occrate_avgocc_coursenumber_dow_hod_registered,2,0.015877,0.008415
occrate_avgocc_coursenumber_dow_hod_registered,3,0.015968,0.007904
occrate_avgocc_coursenumber_dow_hod_registered,4,0.016619,0.008073
occrate_avgocc_coursenumber_dow_hod_registered_lecture,0,0.017363,0.008382
occrate_avgocc_coursenumber_dow_hod_registered_lecture,1,0.015576,0.008145
occrate_avgocc_coursenumber_dow_hod_registered_lecture,2,0.016262,0.008285
occrate_avgocc_coursenumber_dow_hod_registered_lecture,3,0.016061,0.007994
occrate_avgocc_coursenumber_dow_hod_registered_lecture,4,0.016526,0.008212
occrate_avgocc_coursenumber_dow_hod_registered_lecture_studyarea,0,0.016947,0.008607
occrate_avgocc_coursenumber_dow_hod_registered_lecture_studyarea,1,0.016539,0.008912
occrate_avgocc_coursenumber_dow_hod_registered_lecture_studyarea,2,0.016412,0.008311
occrate_avgocc_coursenumber_dow_hod_registered_lecture_studyarea,3,0.015889,0.008312
occrate_avgocc_coursenumber_dow_hod_registered_lecture_studyarea,4,0.016134,0.008519
occrate_avgocc_coursenumber_dow_hod_registered_studyarea,0,0.017107,0.00872
occrate_avgocc_coursenumber_dow_hod_registered_studyarea,1,0.016628,0.008669
occrate_avgocc_coursenumber_dow_hod_registered_studyarea,2,0.016283,0.008429
occrate_avgocc_coursenumber_dow_hod_registered_studyarea,3,0.016819,0.008308
occrate_avgocc_coursenumber_dow_hod_registered_studyarea,4,0.016419,0.008792
occrate_avgocc_coursenumber_dow_hod_studyarea,0,0.016664,0.008706
occrate_avgocc_coursenumber_dow_hod_studyarea,1,0.016743,0.008419
occrate_avgocc_coursenumber_dow_hod_studyarea,2,0.016636,0.008777
occrate_avgocc_coursenumber_dow_hod_studyarea,3,0.016673,0.008545
occrate_avgocc_coursenumber_dow_hod_studyarea,4,0.017585,0.008739
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled,0,0.01599,0.008046
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled,1,0.015541,0.007764
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled,2,0.016004,0.008683
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled,3,0.016,0.008243
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled,4,0.016663,0.008388
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture,0,0.015692,0.008552
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture,1,0.015206,0.008298
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture,2,0.015851,0.008512
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture,3,0.015527,0.008572
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture,4,0.016045,0.008017
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,0,0.015271,0.008705
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,1,0.014768,0.008529
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,2,0.017569,0.008859
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,3,0.015299,0.009107
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,4,0.014928,0.008701
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,0,0.01534,0.008061
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,1,0.015291,0.008116
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,2,0.01537,0.008228
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,3,0.015254,0.008199
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,4,0.015513,0.008211
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture,0,0.016854,0.008687
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture,1,0.015532,0.008456
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture,2,0.015254,0.008149
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture,3,0.015154,0.00812
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture,4,0.015266,0.008325
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture_studyarea,0,0.017047,0.008491
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture_studyarea,1,0.015392,0.008787
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture_studyarea,2,0.017308,0.008708
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture_studyarea,3,0.01611,0.008873
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture_studyarea,4,0.015659,0.008711
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_studyarea,0,0.015813,0.008745
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_studyarea,1,0.016078,0.00818
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_studyarea,2,0.01696,0.009277
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_studyarea,3,0.015429,0.008308
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_studyarea,4,0.015904,0.008452
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_studyarea,0,0.016272,0.008847
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_studyarea,1,0.016245,0.008861
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_studyarea,2,0.016182,0.008466
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_studyarea,3,0.015608,0.008597
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_studyarea,4,0.016965,0.008791
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type,0,0.015075,0.008306
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type,1,0.015567,0.00841
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type,2,0.015341,0.007981
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type,3,0.016048,0.008434
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type,4,0.015383,0.008318
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture,0,0.015465,0.008681
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture,1,0.014776,0.008336
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture,2,0.014516,0.008394
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture,3,0.016176,0.008736
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture,4,0.014688,0.008827
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture_studyarea,0,0.015623,0.008807
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture_studyarea,1,0.015635,0.009399
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture_studyarea,2,0.015866,0.009109
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture_studyarea,3,0.017254,0.008713
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture_studyarea,4,0.016057,0.008934
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered,0,0.01503,0.008748
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered,1,0.014866,0.008073
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered,2,0.014452,0.008067
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered,3,0.014836,0.008156
