features,run_id,MAE,DenormMAE,MSE,DenormMSE,RMSE,DenormRMSE
occrate,0,0.02075,3.298984,0.003461,88.63496,0.026785,4.257348
occrate,1,0.021498,3.419336,0.003627,92.99716,0.027013,4.295266
occrate,2,0.021278,3.386159,0.003531,90.5901,0.027101,4.310824
occrate,3,0.021168,3.366414,0.003396,86.937744,0.026886,4.274557
occrate,4,0.021944,3.48984,0.00364,93.1131,0.027775,4.415545
occrate_avgocc,0,0.018359,2.919667,0.002692,69.373886,0.02313,3.678116
occrate_avgocc,1,0.01798,2.860682,0.002719,70.18114,0.022744,3.618008
occrate_avgocc,2,0.018525,2.94592,0.002672,68.91471,0.023431,3.726274
occrate_avgocc,3,0.018096,2.878582,0.002684,69.255104,0.023007,3.659443
occrate_avgocc,4,0.01836,2.919773,0.002707,69.78058,0.023225,3.692842
occrate_avgocc_coursenumber,0,0.015517,2.471163,0.00222,57.281754,0.019908,3.169867
occrate_avgocc_coursenumber,1,0.016047,2.549358,0.0023,58.93478,0.020643,3.279587
occrate_avgocc_coursenumber,2,0.01607,2.556805,0.002297,59.05412,0.020708,3.294762
occrate_avgocc_coursenumber,3,0.015844,2.525616,0.00237,61.3439,0.020294,3.23438
occrate_avgocc_coursenumber,4,0.015759,2.508752,0.002259,58.268932,0.020385,3.245169
occrate_avgocc_coursenumber_dow,0,0.016709,2.655592,0.002313,59.36842,0.021355,3.393435
occrate_avgocc_coursenumber_dow,1,0.016328,2.599316,0.002432,62.812748,0.021033,3.347331
occrate_avgocc_coursenumber_dow,2,0.016772,2.665207,0.002371,60.846214,0.021355,3.392902
occrate_avgocc_coursenumber_dow,3,0.01603,2.54999,0.002175,55.820663,0.020607,3.277253
occrate_avgocc_coursenumber_dow,4,0.016383,2.605827,0.002244,57.71679,0.020894,3.322367
occrate_avgocc_coursenumber_dow_hod,0,0.016401,2.607192,0.002246,57.77952,0.021008,3.339078
occrate_avgocc_coursenumber_dow_hod,1,0.016307,2.59361,0.002253,58.09306,0.020797,3.307203
occrate_avgocc_coursenumber_dow_hod,2,0.016608,2.646224,0.002612,67.62934,0.0214,3.408878
occrate_avgocc_coursenumber_dow_hod,3,0.015889,2.525419,0.00221,56.865498,0.020469,3.253322
occrate_avgocc_coursenumber_dow_hod,4,0.016663,2.645927,0.002367,60.766434,0.021151,3.360341
occrate_avgocc_coursenumber_dow_hod_lecture,0,0.016644,2.643375,0.002395,61.564182,0.021668,3.442426
occrate_avgocc_coursenumber_dow_hod_lecture,1,0.015866,2.52248,0.002248,57.928936,0.020357,3.236704
occrate_avgocc_coursenumber_dow_hod_lecture,2,0.016293,2.586264,0.002211,56.643963,0.02098,3.331272
occrate_avgocc_coursenumber_dow_hod_lecture,3,0.016117,2.56114,0.00224,57.507168,0.020807,3.306151
occrate_avgocc_coursenumber_dow_hod_lecture,4,0.016507,2.62101,0.002296,58.937214,0.02119,3.36492
occrate_avgocc_coursenumber_dow_hod_lecture_studyarea,0,0.016854,2.677172,0.002492,63.987667,0.021477,3.41127
occrate_avgocc_coursenumber_dow_hod_lecture_studyarea,1,0.016023,2.543772,0.002194,56.084164,0.020563,3.263106
occrate_avgocc_coursenumber_dow_hod_lecture_studyarea,2,0.016179,2.568229,0.002189,55.974773,0.020972,3.329066
occrate_avgocc_coursenumber_dow_hod_lecture_studyarea,3,0.015721,2.49079,0.002022,51.300076,0.020136,3.190458
occrate_avgocc_coursenumber_dow_hod_lecture_studyarea,4,0.01672,2.65531,0.002476,63.65948,0.021306,3.38327
occrate_avgocc_coursenumber_dow_hod_registered,0,0.016682,2.653741,0.002498,64.44082,0.021415,3.406769
occrate_avgocc_coursenumber_dow_hod_registered,1,0.016819,2.677301,0.002599,67.25526,0.021613,3.440362
occrate_avgocc_coursenumber_dow_hod_registered,2,0.015877,2.523636,0.002116,54.323765,0.020516,3.260362
occrate_avgocc_coursenumber_dow_hod_registered,3,0.015968,2.537409,0.0022,56.48102,0.020553,3.265508
occrate_avgocc_coursenumber_dow_hod_registered,4,0.016619,2.645659,0.002571,66.43944,0.021398,3.406458
occrate_avgocc_coursenumber_dow_hod_registered_lecture,0,0.017363,2.756891,0.002537,65.02735,0.022139,3.515826
occrate_avgocc_coursenumber_dow_hod_registered_lecture,1,0.015576,2.47193,0.002003,51.24515,0.019959,3.169056
occrate_avgocc_coursenumber_dow_hod_registered_lecture,2,0.016262,2.585175,0.00217,55.844086,0.020693,3.2893
occrate_avgocc_coursenumber_dow_hod_registered_lecture,3,0.016061,2.5509,0.002187,56.141407,0.020606,3.273448
occrate_avgocc_coursenumber_dow_hod_registered_lecture,4,0.016526,2.622388,0.002256,57.810036,0.021116,3.352794
occrate_avgocc_coursenumber_dow_hod_registered_lecture_studyarea,0,0.016947,2.692202,0.002387,61.382008,0.021447,3.405518
occrate_avgocc_coursenumber_dow_hod_registered_lecture_studyarea,1,0.016539,2.625548,0.002239,57.258728,0.021031,3.338401
occrate_avgocc_coursenumber_dow_hod_registered_lecture_studyarea,2,0.016412,2.602796,0.002286,58.592594,0.020835,3.305323
occrate_avgocc_coursenumber_dow_hod_registered_lecture_studyarea,3,0.015889,2.521694,0.002241,57.242695,0.020645,3.275798
occrate_avgocc_coursenumber_dow_hod_registered_lecture_studyarea,4,0.016134,2.557822,0.002179,55.48827,0.020561,3.258913
occrate_avgocc_coursenumber_dow_hod_registered_studyarea,0,0.017107,2.713829,0.002454,62.724148,0.021858,3.466588
occrate_avgocc_coursenumber_dow_hod_registered_studyarea,1,0.016628,2.639819,0.002495,64.10747,0.021061,3.34395
occrate_avgocc_coursenumber_dow_hod_registered_studyarea,2,0.016283,2.588442,0.002341,60.058018,0.02081,3.306198
occrate_avgocc_coursenumber_dow_hod_registered_studyarea,3,0.016819,2.673259,0.002398,61.82099,0.02123,3.373412
occrate_avgocc_coursenumber_dow_hod_registered_studyarea,4,0.016419,2.606748,0.002205,56.556133,0.020856,3.311266
occrate_avgocc_coursenumber_dow_hod_studyarea,0,0.016664,2.645708,0.002526,64.73564,0.021457,3.40739
occrate_avgocc_coursenumber_dow_hod_studyarea,1,0.016743,2.656831,0.002283,58.42204,0.021295,3.378546
occrate_avgocc_coursenumber_dow_hod_studyarea,2,0.016636,2.645593,0.002445,62.897514,0.021411,3.403584
occrate_avgocc_coursenumber_dow_hod_studyarea,3,0.016673,2.646185,0.00222,56.65219,0.021304,3.380834
occrate_avgocc_coursenumber_dow_hod_studyarea,4,0.017585,2.78591,0.002708,69.00332,0.02243,3.553175
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled,0,0.01599,2.544207,0.00235,60.733044,0.020643,3.285255
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled,1,0.015541,2.473355,0.002187,56.443626,0.020045,3.189853
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled,2,0.016004,2.549406,0.00229,59.37621,0.02059,3.279558
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled,3,0.016,2.544635,0.002153,55.5181,0.020442,3.25048
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled,4,0.016663,2.652188,0.002414,62.310146,0.02149,3.419834
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture,0,0.015692,2.494688,0.002111,54.299458,0.020141,3.200969
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture,1,0.015206,2.419218,0.002076,53.52286,0.019588,3.115424
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture,2,0.015851,2.518326,0.002166,55.559807,0.020389,3.238259
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture,3,0.015527,2.466737,0.002197,56.485207,0.020175,3.206284
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture,4,0.016045,2.549497,0.002166,55.55249,0.020532,3.26189
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,0,0.015271,2.426414,0.002194,56.358196,0.01959,3.111088
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,1,0.014768,2.342186,0.001917,48.96524,0.019077,3.026025
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,2,0.017569,2.790608,0.002552,65.76906,0.022052,3.501581
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,3,0.015299,2.429351,0.002014,51.5572,0.019654,3.12085
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,4,0.014928,2.372163,0.002037,52.28515,0.01947,3.093289
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,0,0.01534,2.436109,0.002018,51.798145,0.01984,3.150768
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,1,0.015291,2.43316,0.00212,54.784687,0.019797,3.150198
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,2,0.01537,2.444457,0.002053,52.790077,0.019799,3.147266
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,3,0.015254,2.424048,0.002104,54.094864,0.019702,3.130684
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,4,0.015513,2.466456,0.002398,61.8742,0.019911,3.166088
