course_number,room,start_time,end_time,room_capacity,note
238.302,HS 19,2024-04-08 10:15:00,2024-04-08 11:45:00,152,
231.115,HS 19,2024-04-08 12:00:00,2024-04-08 13:30:00,152,
258.410,HS 18,2024-04-08 12:00:00,2024-04-08 13:30:00,164,Pattern Mining
190.035,HS 19,2024-04-08 13:45:00,2024-04-08 15:15:00,152,
136.309,HS 18,2024-04-08 13:45:00,2024-04-08 15:15:00,164,
140.004,HS 19,2024-04-08 15:30:00,2024-04-08 18:00:00,152,
238.213,HS 18,2024-04-08 15:30:00,2024-04-08 17:00:00,164,
360.001,HS 18,2024-04-08 17:15:00,2024-04-08 18:45:00,164,Tutorium
366.560,HS 19,2024-04-09 08:30:00,2024-04-09 10:00:00,152,
361.001,HS 18,2024-04-09 08:30:00,2024-04-09 10:00:00,164,
340.100,HS 18,2024-04-09 10:15:00,2024-04-09 11:45:00,164,
360.001,HS 19,2024-04-09 10:15:00,2024-04-09 11:45:00,152,
382.037,HS 19,2024-04-09 12:00:00,2024-04-09 15:15:00,152,
259.002,HS 18,2024-04-09 12:00:00,2024-04-09 13:30:00,164,"Präsenztermin, Video Einheit: Bedingungen - If/Else"
364.000,HS 18,2024-04-09 13:45:00,2024-04-09 15:15:00,164,Local Shading and Illumination
340.400,HS 18,2024-04-09 15:30:00,2024-04-09 17:00:00,164,
229.054,HS 19,2024-04-09 15:30:00,2024-04-09 18:00:00,152,
371.000,HS 18,2024-04-10 08:30:00,2024-04-10 10:00:00,164,
327.029,HS 19,2024-04-10 10:15:00,2024-04-10 11:45:00,152,
531.170,HS 18,2024-04-10 10:15:00,2024-04-10 11:45:00,164,
325.004,HS 18,2024-04-10 10:15:00,2024-04-10 11:45:00,164,
258.300,HS 18,2024-04-10 12:00:00,2024-04-10 13:30:00,164,DBS: Distributed DBS
259.022,HS 19,2024-04-10 12:00:00,2024-04-10 14:30:00,152,"OO Architecture, Tactics"
257.200,HS 18,2024-04-10 13:45:00,2024-04-10 15:15:00,164,
365.232,HS 19,2024-04-10 14:30:00,2024-04-10 15:15:00,152,
257.211,HS 18,2024-04-10 15:30:00,2024-04-10 17:00:00,164,
257.213,HS 18,2024-04-10 15:30:00,2024-04-10 17:00:00,164,
257.214,HS 18,2024-04-10 15:30:00,2024-04-10 17:00:00,164,
