datetime,occcount,coursenumber,registered,VL,Mechatronik,B1 - Bachelor 1. Jahr,hod1,hod2,tl,room_id
2024-04-08 00:00:00,0,,0,0,0,0,0.5,1.0,14.2,0
2024-04-08 00:15:00,0,,0,0,0,0,0.5327,0.9989,14.2,0
2024-04-08 00:30:00,0,,0,0,0,0,0.5653,0.9957,14.1,0
2024-04-08 00:45:00,0,,0,0,0,0,0.5975,0.9904,14.0,0
2024-04-08 01:00:00,0,,0,0,0,0,0.6294,0.983,13.8,0
2024-04-08 01:15:00,0,,0,0,0,0,0.6607,0.9735,13.7,0
2024-04-08 01:30:00,0,,0,0,0,0,0.6913,0.9619,13.7,0
2024-04-08 01:45:00,0,,0,0,0,0,0.7211,0.9484,13.5,0
2024-04-08 02:00:00,0,,0,0,0,0,0.75,0.933,13.4,0
2024-04-08 02:15:00,0,,0,0,0,0,0.7778,0.9157,13.4,0
2024-04-08 02:30:00,0,,0,0,0,0,0.8044,0.8967,13.1,0
2024-04-08 02:45:00,0,,0,0,0,0,0.8297,0.8759,13.1,0
2024-04-08 03:00:00,0,,0,0,0,0,0.8536,0.8536,13.1,0
2024-04-08 03:15:00,0,,0,0,0,0,0.8759,0.8297,13.1,0
2024-04-08 03:30:00,0,,0,0,0,0,0.8967,0.8044,12.9,0
2024-04-08 03:45:00,0,,0,0,0,0,0.9157,0.7778,12.7,0
2024-04-08 04:00:00,0,,0,0,0,0,0.933,0.75,12.6,0
2024-04-08 04:15:00,0,,0,0,0,0,0.9484,0.7211,12.5,0
2024-04-08 04:30:00,0,,0,0,0,0,0.9619,0.6913,12.3,0
2024-04-08 04:45:00,0,,0,0,0,0,0.9735,0.6607,12.2,0
2024-04-08 05:00:00,0,,0,0,0,0,0.983,0.6294,12.3,0
2024-04-08 05:15:00,0,,0,0,0,0,0.9904,0.5975,12.3,0
2024-04-08 05:30:00,0,,0,0,0,0,0.9957,0.5653,12.7,0
2024-04-08 05:45:00,0,,0,0,0,0,0.9989,0.5327,12.9,0
2024-04-08 06:00:00,0,,0,0,0,0,1.0,0.5,13.5,0
2024-04-08 06:15:00,0,,0,0,0,0,0.9989,0.4673,13.9,0
2024-04-08 06:30:00,0,,0,0,0,0,0.9957,0.4347,14.7,0
2024-04-08 06:45:00,0,,0,0,0,0,0.9904,0.4025,15.6,0
2024-04-08 07:00:00,0,,0,0,0,0,0.983,0.3706,17.4,0
2024-04-08 07:15:00,0,,0,0,0,0,0.9735,0.3393,17.8,0
2024-04-08 07:30:00,0,,0,0,0,0,0.9619,0.3087,18.1,0
2024-04-08 07:45:00,1,,0,0,0,0,0.9484,0.2789,18.9,0
2024-04-08 08:00:00,0,,0,0,0,0,0.933,0.25,19.7,0
2024-04-08 08:15:00,0,,0,0,0,0,0.9157,0.2222,20.5,0
2024-04-08 08:30:00,0,,0,0,0,0,0.8967,0.1956,21.6,0
2024-04-08 08:45:00,0,,0,0,0,0,0.8759,0.1703,21.8,0
2024-04-08 09:00:00,0,,0,0,0,0,0.8536,0.1464,22.7,0
